probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
HU,B-Root,dns_root,anycast,55,51,0,0.0,0.9272727272727272,55,23,1,1,0.0,True,True,auditable,,probe_country_service
ID,B-Root,dns_root,anycast,84,81,77,0.9166666666666666,0.9642857142857143,78,57,1,1,0.0,True,True,auditable,,probe_country_service
IE,B-Root,dns_root,anycast,92,90,0,0.0,0.9782608695652174,88,25,1,1,0.0,True,True,auditable,,probe_country_service
IL,B-Root,dns_root,anycast,32,32,18,0.5625,1.0,29,12,1,1,0.0,True,True,auditable,,probe_country_service
IM,B-Root,dns_root,anycast,3,3,2,0.6666666666666666,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IN,B-Root,dns_root,anycast,141,122,105,0.7446808510638298,0.8652482269503546,135,59,1,1,0.0,True,True,auditable,,probe_country_service
IQ,B-Root,dns_root,anycast,8,8,0,0.0,1.0,8,6,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IR,B-Root,dns_root,anycast,46,22,0,0.0,0.4782608695652174,44,22,1,1,0.0,True,True,auditable,,probe_country_service
IS,B-Root,dns_root,anycast,12,12,0,0.0,1.0,11,8,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
IT,B-Root,dns_root,anycast,319,303,3,0.009404388714733543,0.9498432601880877,306,102,1,1,0.0,True,True,auditable,,probe_country_service
JO,B-Root,dns_root,anycast,2,1,0,0.0,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
JP,B-Root,dns_root,anycast,234,222,17,0.07264957264957266,0.9487179487179487,223,99,1,1,0.0,True,True,auditable,,probe_country_service
KE,B-Root,dns_root,anycast,15,14,6,0.4,0.9333333333333333,15,10,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
KG,B-Root,dns_root,anycast,22,20,0,0.0,0.9090909090909091,20,13,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
KH,B-Root,dns_root,anycast,3,3,2,0.6666666666666666,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
KI,B-Root,dns_root,anycast,2,2,2,1.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KN,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KR,B-Root,dns_root,anycast,22,19,3,0.13636363636363635,0.8636363636363636,21,12,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
KW,B-Root,dns_root,anycast,2,1,1,0.5,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KY,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
KZ,B-Root,dns_root,anycast,56,56,0,0.0,1.0,52,20,1,1,0.0,True,True,auditable,,probe_country_service
LA,B-Root,dns_root,anycast,1,1,1,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LB,B-Root,dns_root,anycast,2,1,0,0.0,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LC,B-Root,dns_root,anycast,2,2,2,1.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
LI,B-Root,dns_root,anycast,3,3,0,0.0,1.0,3,3,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
LK,B-Root,dns_root,anycast,14,13,13,0.9285714285714286,0.9285714285714286,13,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
LS,B-Root,dns_root,anycast,1,1,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
