unit_id,physical_level,feasible_candidate_count,feasible_corridor_count,candidate_entropy_uniform,corridor_entropy_uniform,effective_candidate_count_uniform,effective_corridor_count_uniform,physical_candidate_diversity_upper_bound,num_feasible_links,num_probes,candidate_identifier_column,diversity_weighting,physical_candidate_diversity_score,candidate_entropy,effective_num_candidates,dominant_candidate_support_share
src_country=JP|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,32,137,3.4657359027997265,4.919980925828125,32.0,137.0,32.0,11006,3254,cable_id,uniform_feasible_set,32.0,3.4657359027997265,32.0,0.03125
src_country=KE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,8,17,2.0794415416798357,2.833213344056216,8.0,17.0,8.0,314,246,cable_id,uniform_feasible_set,8.0,2.0794415416798357,8.0,0.125
src_country=KN|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,7,46,1.9459101490553132,3.828641396489095,7.0,46.0,7.0,22,22,cable_id,uniform_feasible_set,7.0,1.9459101490553132,7.0,0.14285714285714285
src_country=KW|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,14,1.6094379124341003,2.6390573296152584,5.0,14.0,5.0,336,199,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=KY|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,96,1,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=LB|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,3,0.6931471805599453,1.0986122886681098,2.0,3.0,2.0,2,2,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=LC|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,44,1.3862943611198906,3.784189633918261,4.0,44.0,4.0,204,4,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=LI|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,2,0.6931471805599453,0.6931471805599453,2.0,2.0,2.0,505,17,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=LK|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,7,1.6094379124341003,1.9459101490553132,5.0,7.0,5.0,434,67,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=LY|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,9,0.0,2.1972245773362196,1.0,9.0,1.0,14,9,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=MA|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,1,1,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=MM|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,85,5,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=MO|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,3,1.0986122886681098,1.0986122886681098,3.0,3.0,3.0,2,2,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=MP|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,6,9,1.791759469228055,2.1972245773362196,6.0,9.0,6.0,100,5,cable_id,uniform_feasible_set,6.0,1.791759469228055,6.0,0.16666666666666666
