network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
composite,corridor,conservative_set,strong_or_moderate,12,1,0.04,0.07142857142857142,0.53125,-0.006105523922839466,64,0.7391304347826086,high,"composite network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
composite,corridor,weighted_support,all,11,1,0.08695652173913043,0.14285714285714285,0.6551724137931034,0.39301095115456725,87,0.6847826086956522,high,"composite network definition, corridor-level, weighted support view, all projections"
composite,corridor,weighted_support,strong_only,3,0,0.0,0.0,0.47368421052631576,-0.030742207619936273,19,0.8695652173913043,high,"composite network definition, corridor-level, weighted support view, strong projections only"
composite,corridor,weighted_support,strong_or_moderate,8,1,0.047619047619047616,0.07142857142857142,0.609375,0.010010996377596849,64,0.7391304347826086,high,"composite network definition, corridor-level, weighted support view, strong/moderate projections only"
country_only,cable,conservative_set,all,14,0,0.16666666666666666,0.2857142857142857,0.6578947368421053,0.20773168651201104,114,0.6385869565217391,high,"country_only network definition, cable-level, conservative feasible-set view, all projections"
country_only,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,-0.02635046367423109,19,0.8695652173913043,high,"country_only network definition, cable-level, conservative feasible-set view, strong projections only"
country_only,cable,conservative_set,strong_or_moderate,10,2,0.043478260869565216,0.07142857142857142,0.515625,-0.09868752641568221,64,0.7391304347826086,high,"country_only network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
country_only,cable,weighted_support,all,14,2,0.037037037037037035,0.07142857142857142,0.5172413793103449,-0.008479522008652016,87,0.6847826086956522,high,"country_only network definition, cable-level, weighted support view, all projections"
country_only,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,-0.04036858659791362,19,0.8695652173913043,high,"country_only network definition, cable-level, weighted support view, strong projections only"
country_only,cable,weighted_support,strong_or_moderate,11,2,0.041666666666666664,0.07142857142857142,0.515625,-0.06364531875843232,64,0.7391304347826086,high,"country_only network definition, cable-level, weighted support view, strong/moderate projections only"
country_only,corridor,conservative_set,all,16,0,0.30434782608695654,0.5,0.7894736842105263,0.44765147114075887,114,0.6385869565217391,high,"country_only network definition, corridor-level, conservative feasible-set view, all projections"
country_only,corridor,conservative_set,strong_only,4,0,0.0,0.0,0.42105263157894735,-0.14455190115236588,19,0.8695652173913043,high,"country_only network definition, corridor-level, conservative feasible-set view, strong projections only"
country_only,corridor,conservative_set,strong_or_moderate,15,2,0.03571428571428571,0.07142857142857142,0.484375,-0.069862794713443,64,0.7391304347826086,high,"country_only network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
country_only,corridor,weighted_support,all,16,1,0.034482758620689655,0.07142857142857142,0.5632183908045977,0.07830792986162134,87,0.6847826086956522,high,"country_only network definition, corridor-level, weighted support view, all projections"
country_only,corridor,weighted_support,strong_only,4,0,0.0,0.0,0.42105263157894735,-0.20105355575065847,19,0.8695652173913043,high,"country_only network definition, corridor-level, weighted support view, strong projections only"
country_only,corridor,weighted_support,strong_or_moderate,11,2,0.041666666666666664,0.07142857142857142,0.53125,-0.09666037613311639,64,0.7391304347826086,high,"country_only network definition, corridor-level, weighted support view, strong/moderate projections only"
dst_asn_primary,cable,conservative_set,all,14,1,0.3333333333333333,0.5,0.7280701754385965,0.5161888378532202,114,0.6385869565217391,high,"dst_asn_primary network definition, cable-level, conservative feasible-set view, all projections"
dst_asn_primary,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,0.2220272262885249,19,0.8695652173913043,high,"dst_asn_primary network definition, cable-level, conservative feasible-set view, strong projections only"
dst_asn_primary,cable,conservative_set,strong_or_moderate,7,0,0.05,0.07142857142857142,0.59375,0.007855351606050456,64,0.7391304347826086,high,"dst_asn_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
dst_asn_primary,cable,weighted_support,all,11,1,0.13636363636363635,0.21428571428571427,0.6206896551724138,0.31978471695859595,87,0.6847826086956522,high,"dst_asn_primary network definition, cable-level, weighted support view, all projections"
dst_asn_primary,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,0.19402985074626863,19,0.8695652173913043,high,"dst_asn_primary network definition, cable-level, weighted support view, strong projections only"
dst_asn_primary,cable,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.59375,0.01644190595643011,64,0.7391304347826086,high,"dst_asn_primary network definition, cable-level, weighted support view, strong/moderate projections only"
dst_asn_primary,corridor,conservative_set,all,14,1,0.5555555555555556,0.7142857142857143,0.8771929824561403,0.7984626332517684,114,0.6385869565217391,high,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, all projections"
dst_asn_primary,corridor,conservative_set,strong_only,3,0,0.0,0.0,0.47368421052631576,0.08523729125701816,19,0.8695652173913043,high,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, strong projections only"
dst_asn_primary,corridor,conservative_set,strong_or_moderate,12,0,0.04,0.07142857142857142,0.53125,-0.006962496421870775,64,0.7391304347826086,high,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
dst_asn_primary,corridor,weighted_support,all,11,1,0.13636363636363635,0.21428571428571427,0.6666666666666666,0.45358217148003815,87,0.6847826086956522,high,"dst_asn_primary network definition, corridor-level, weighted support view, all projections"
dst_asn_primary,corridor,weighted_support,strong_only,3,0,0.0,0.0,0.47368421052631576,-0.028985510041654197,19,0.8695652173913043,high,"dst_asn_primary network definition, corridor-level, weighted support view, strong projections only"
dst_asn_primary,corridor,weighted_support,strong_or_moderate,8,0,0.047619047619047616,0.07142857142857142,0.609375,0.02221102295258605,64,0.7391304347826086,high,"dst_asn_primary network definition, corridor-level, weighted support view, strong/moderate projections only"
geographic_transition_supplementary,cable,conservative_set,all,14,0,0.16666666666666666,0.2857142857142857,0.6578947368421053,0.20773168651201104,114,0.6385869565217391,high,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, all projections"
geographic_transition_supplementary,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3684210526315789,-0.02635046367423109,19,0.8695652173913043,high,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
geographic_transition_supplementary,cable,conservative_set,strong_or_moderate,10,2,0.043478260869565216,0.07142857142857142,0.515625,-0.09868752641568221,64,0.7391304347826086,high,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
geographic_transition_supplementary,cable,weighted_support,all,14,2,0.037037037037037035,0.07142857142857142,0.5172413793103449,-0.008479522008652016,87,0.6847826086956522,high,"geographic_transition_supplementary network definition, cable-level, weighted support view, all projections"
geographic_transition_supplementary,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3684210526315789,-0.04036858659791362,19,0.8695652173913043,high,"geographic_transition_supplementary network definition, cable-level, weighted support view, strong projections only"
geographic_transition_supplementary,cable,weighted_support,strong_or_moderate,11,2,0.041666666666666664,0.07142857142857142,0.515625,-0.06364531875843232,64,0.7391304347826086,high,"geographic_transition_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
geographic_transition_supplementary,corridor,conservative_set,all,16,0,0.30434782608695654,0.5,0.7894736842105263,0.44765147114075887,114,0.6385869565217391,high,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
geographic_transition_supplementary,corridor,conservative_set,strong_only,4,0,0.0,0.0,0.42105263157894735,-0.14455190115236588,19,0.8695652173913043,high,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
geographic_transition_supplementary,corridor,conservative_set,strong_or_moderate,15,2,0.03571428571428571,0.07142857142857142,0.484375,-0.069862794713443,64,0.7391304347826086,high,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
geographic_transition_supplementary,corridor,weighted_support,all,16,1,0.034482758620689655,0.07142857142857142,0.5632183908045977,0.07830792986162134,87,0.6847826086956522,high,"geographic_transition_supplementary network definition, corridor-level, weighted support view, all projections"
geographic_transition_supplementary,corridor,weighted_support,strong_only,4,0,0.0,0.0,0.42105263157894735,-0.20105355575065847,19,0.8695652173913043,high,"geographic_transition_supplementary network definition, corridor-level, weighted support view, strong projections only"
geographic_transition_supplementary,corridor,weighted_support,strong_or_moderate,11,2,0.041666666666666664,0.07142857142857142,0.53125,-0.09666037613311639,64,0.7391304347826086,high,"geographic_transition_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
probe_target_only,cable,conservative_set,all,10,1,0.14285714285714285,0.21428571428571427,0.6842105263157895,0.345003910139862,114,0.6385869565217391,high,"probe_target_only network definition, cable-level, conservative feasible-set view, all projections"
probe_target_only,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3157894736842105,0.2946860187568177,19,0.8695652173913043,high,"probe_target_only network definition, cable-level, conservative feasible-set view, strong projections only"
probe_target_only,cable,conservative_set,strong_or_moderate,3,0,0.0625,0.07142857142857142,0.640625,-0.037196144272965026,64,0.7391304347826086,high,"probe_target_only network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
probe_target_only,cable,weighted_support,all,12,1,0.08333333333333333,0.14285714285714285,0.5862068965517241,0.19921155787554834,87,0.6847826086956522,high,"probe_target_only network definition, cable-level, weighted support view, all projections"
probe_target_only,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3157894736842105,0.24450345653963804,19,0.8695652173913043,high,"probe_target_only network definition, cable-level, weighted support view, strong projections only"
probe_target_only,cable,weighted_support,strong_or_moderate,6,0,0.05263157894736842,0.07142857142857142,0.609375,0.001626276981667271,64,0.7391304347826086,high,"probe_target_only network definition, cable-level, weighted support view, strong/moderate projections only"
probe_target_only,corridor,conservative_set,all,12,1,0.3,0.42857142857142855,0.8333333333333334,0.6513829501720896,114,0.6385869565217391,high,"probe_target_only network definition, corridor-level, conservative feasible-set view, all projections"
probe_target_only,corridor,conservative_set,strong_only,4,0,0.0,0.0,0.3684210526315789,0.15949039549637936,19,0.8695652173913043,high,"probe_target_only network definition, corridor-level, conservative feasible-set view, strong projections only"
probe_target_only,corridor,conservative_set,strong_or_moderate,9,0,0.045454545454545456,0.07142857142857142,0.5625,-0.04226610598779448,64,0.7391304347826086,high,"probe_target_only network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
probe_target_only,corridor,weighted_support,all,12,1,0.08333333333333333,0.14285714285714285,0.632183908045977,0.3572626601512358,87,0.6847826086956522,high,"probe_target_only network definition, corridor-level, weighted support view, all projections"
probe_target_only,corridor,weighted_support,strong_only,4,0,0.0,0.0,0.3684210526315789,0.003957789764130832,19,0.8695652173913043,high,"probe_target_only network definition, corridor-level, weighted support view, strong projections only"
probe_target_only,corridor,weighted_support,strong_or_moderate,6,0,0.05263157894736842,0.07142857142857142,0.625,-0.007434305864770757,64,0.7391304347826086,high,"probe_target_only network definition, corridor-level, weighted support view, strong/moderate projections only"
