Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
FJ,anchor,weighted,all,full,192,28,0.1458,Hawaiki Nui 1,16.304,0.0849,Asia Connect Cable-1 (ACC-1),1.3609,0.0071,0.0778,33,AS2914->AS3257,4,0.0208,AS53813->AS9498,3,0.0156,0.0052,0.0641,BW Digital,23.1866,0.1208,SUBCO,1.0,0.0052,0.1156,0.0358,0,0,28
TH,anchor,weighted,all,full,3717,540,0.1453,Asia Connect Cable-1 (ACC-1),96.448,0.0259,SeaMeWe-4,94.9616,0.0255,0.0004,1129,AS133481->AS45430,564,0.1517,AS749->AS38082,96,0.0258,0.1259,-0.1258,Singtel,182.3237,0.0491,Telekom Malaysia,179.2465,0.0482,0.0008,0.0231,38,70,432
BJ,anchor,weighted,all,full,470,66,0.1404,Maroc Telecom West Africa,8.3775,0.0178,SeaMeWe-4,7.8348,0.0167,0.0012,177,AS28683->AS174,212,0.4511,AS28683->AS5511,53,0.1128,0.3383,-0.4332,Telecom Egypt,19.6896,0.0419,Maroc Telecom,17.2619,0.0367,0.0052,0.0241,0,35,31
PY,anchor,weighted,all,full,1059,144,0.136,South America-1 (SAm-1),79.2602,0.0748,Tabua,3.6971,0.0035,0.0714,325,AS23201->AS28008,211,0.1992,AS27768->AS7303,157,0.1483,0.051,-0.1244,Telxius,119.0,0.1124,Sparkle,5.0,0.0047,0.1076,0.0375,90,38,16
ET,anchor,weighted,all,full,96,13,0.1354,SeaMeWe-6,3.255,0.0339,PEACE Cable,2.7401,0.0285,0.0054,32,AS1299->AS3491,3,0.0312,AS174->AS45609,2,0.0208,0.0104,0.0027,Telecom Egypt,4.9444,0.0515,Singtel,4.4212,0.0461,0.0054,0.0176,0,2,11
TW,anchor,weighted,all,full,6887,902,0.131,APCN-2,228.7874,0.0332,EAC-C2C,152.6386,0.0222,0.0111,1407,AS3462->AS9680,431,0.0626,AS3462->AS6939,239,0.0347,0.0279,-0.0294,Meta,307.7521,0.0447,Telekom Malaysia,276.4678,0.0401,0.0045,0.0115,16,326,560
ZA,anchor,weighted,all,full,11475,1476,0.1286,2Africa,671.6309,0.0585,SAT-3/WASC,515.2283,0.0449,0.0136,2731,AS37199->AS36874,292,0.0254,AS37662->AS6939,279,0.0243,0.0011,0.0331,Orange,759.3776,0.0662,Vodafone,695.6472,0.0606,0.0056,0.0076,45,251,1180
BW,anchor,weighted,all,full,96,12,0.125,2Africa,4.9961,0.052,Africa Coast to Europe (ACE),2.1008,0.0219,0.0302,42,AS37271->AS9498,4,0.0417,AS327750->AS6939,2,0.0208,0.0208,0.0104,Orange,6.5659,0.0684,Telecom Egypt,6.3059,0.0657,0.0027,0.0164,0,3,9
AR,anchor,weighted,all,full,5476,682,0.1245,South America-1 (SAm-1),335.9214,0.0613,Asia Connect Cable-1 (ACC-1),29.8586,0.0055,0.0559,1069,AS3549->AS3356,640,0.1169,AS12956->AS3356,145,0.0265,0.0904,-0.0555,Telxius,485.2427,0.0886,Meta,33.0581,0.006,0.0826,0.0273,428,109,145
MY,anchor,weighted,all,full,3916,485,0.1239,SeaMeWe-6,112.0253,0.0286,SeaMeWe-4,106.2088,0.0271,0.0015,1007,AS4788->AS6939,314,0.0802,AS4788->AS1299,178,0.0455,0.0347,-0.0516,Singtel,191.8712,0.049,Telekom Malaysia,171.6129,0.0438,0.0052,0.0204,30,83,372
