country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
NG,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,3,30844->36937,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.0,1.0
NO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,79,10,29695->29695,0.5443037974683544,0.6582278481012658,0.7721518987341772,4.792062642413921,broad_network_transition_distribution,0.0,True,True,auditable,,39,13,1.0,0.0
NU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,55885->38800,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
NZ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,226,15,7578->7578,0.3008849557522124,0.5353982300884956,0.6504424778761062,7.762991348661195,broad_network_transition_distribution,0.0,True,True,auditable,,68,19,0.4911504424778761,0.5088495575221239
PA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,11556->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PG,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,17828->4826,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,41,13,137074->137074,0.24390243902439024,0.4878048780487805,0.6341463414634146,8.375231992092257,broad_network_transition_distribution,0.0,True,True,auditable,,23,15,0.2682926829268293,0.7317073170731707
PR,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5,3,5786->20080,0.4,0.8,1.0,2.8717458874925876,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
PT,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,27,2,6453->6453,0.9259259259259259,1.0,1.0,1.302195976214733,severe_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,22,5,0.07407407407407407,0.9259259259259259
QA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,8781->8781,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1507,7,174->174,0.9681486396814863,0.9854014598540145,0.9946914399469143,1.1972355455419648,severe_network_transition_concentration,0.0,True,True,auditable,,809,379,0.021234240212342402,0.9787657597876576
SG,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,31,4,7473->6762,0.41935483870967744,0.7419354838709677,0.935483870967742,3.4010444216105733,weak_network_transition_concentration,0.0,True,True,auditable,,17,10,0.0,1.0
SL,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,329109->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,8346->6453,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6,2,38040->38040,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
TO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,24390->24390,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TW,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,144,14,-1->9680,0.4027777777777778,0.6319444444444444,0.7361111111111112,6.614865731418819,broad_network_transition_distribution,0.0,True,True,auditable,,54,15,0.8125,0.1875
TZ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2,1,37035->37662,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
US,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,69,16,137409->7578,0.2028985507246377,0.34782608695652173,0.4927536231884058,11.426273551753425,broad_network_transition_distribution,0.0,True,True,auditable,,41,24,0.5217391304347826,0.4782608695652174
VI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3,1,14434->14434,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
VN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1,1,45899->45899,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
ZA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,44,3,37468->37468,0.6136363636363636,0.8636363636363636,1.0,2.5041256442926816,moderate_network_transition_concentration,0.0,True,True,auditable,,26,12,0.022727272727272728,0.9772727272727273
