probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
BG,F-Root,dns_root,anycast,166,161,0,0.0,0.9698795180722891,83,51,1,1,0.09036144578313253,True,True,auditable,,probe_country_service
BH,F-Root,dns_root,anycast,10,4,4,0.4,0.4,5,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BI,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BJ,F-Root,dns_root,anycast,14,14,8,0.5714285714285714,1.0,7,4,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BL,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BO,F-Root,dns_root,anycast,36,34,0,0.0,0.9444444444444444,18,9,1,1,0.0,True,True,auditable,,probe_country_service
BR,F-Root,dns_root,anycast,173,136,0,0.0,0.7861271676300579,87,58,1,1,0.15028901734104047,True,True,auditable,,probe_country_service
BT,F-Root,dns_root,anycast,4,2,0,0.0,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BW,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BY,F-Root,dns_root,anycast,46,46,0,0.0,1.0,23,14,1,1,0.0,True,True,auditable,,probe_country_service
BZ,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CA,F-Root,dns_root,anycast,541,502,127,0.23475046210720887,0.9279112754158965,271,85,1,1,0.033271719038817,True,True,auditable,,probe_country_service
CD,F-Root,dns_root,anycast,6,6,1,0.16666666666666666,1.0,3,3,1,1,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
CG,F-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CH,F-Root,dns_root,anycast,643,615,44,0.06842923794712286,0.9564541213063764,323,81,1,1,0.003110419906687403,True,True,auditable,,probe_country_service
CI,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CK,F-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CL,F-Root,dns_root,anycast,153,92,0,0.0,0.6013071895424836,76,33,1,1,0.16339869281045752,True,True,auditable,,probe_country_service
CM,F-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CN,F-Root,dns_root,anycast,100,95,16,0.16,0.95,50,23,1,1,0.63,True,True,auditable,,probe_country_service
CO,F-Root,dns_root,anycast,62,48,0,0.0,0.7741935483870968,31,22,1,1,0.0,True,True,auditable,,probe_country_service
CR,F-Root,dns_root,anycast,32,11,2,0.0625,0.34375,16,8,1,1,0.0,True,True,auditable,,probe_country_service
CU,F-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CV,F-Root,dns_root,anycast,8,8,8,1.0,1.0,4,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CW,F-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CY,F-Root,dns_root,anycast,26,24,0,0.0,0.9230769230769231,13,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
CZ,F-Root,dns_root,anycast,552,505,0,0.0,0.9148550724637681,277,112,1,1,0.13405797101449277,True,True,auditable,,probe_country_service
DE,F-Root,dns_root,anycast,3172,3079,22,0.0069356872635561164,0.9706809583858764,1590,376,1,1,0.3117906683480454,True,True,auditable,,probe_country_service
DJ,F-Root,dns_root,anycast,6,6,2,0.3333333333333333,1.0,3,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
DK,F-Root,dns_root,anycast,217,205,195,0.8986175115207373,0.9447004608294931,108,35,1,1,0.055299539170506916,True,True,auditable,,probe_country_service
DO,F-Root,dns_root,anycast,18,18,4,0.2222222222222222,1.0,9,7,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
DZ,F-Root,dns_root,anycast,2,0,0,0.0,0.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
EC,F-Root,dns_root,anycast,48,25,0,0.0,0.5208333333333334,24,19,1,1,0.0,True,True,auditable,,probe_country_service
EE,F-Root,dns_root,anycast,76,58,6,0.07894736842105263,0.7631578947368421,38,22,1,1,0.0,True,True,auditable,,probe_country_service
EG,F-Root,dns_root,anycast,4,4,0,0.0,1.0,2,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
ES,F-Root,dns_root,anycast,459,398,26,0.05664488017429194,0.8671023965141612,230,73,1,1,0.06100217864923747,True,True,auditable,,probe_country_service
ET,F-Root,dns_root,anycast,2,0,0,0.0,0.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FI,F-Root,dns_root,anycast,283,256,10,0.0353356890459364,0.9045936395759717,142,50,1,1,0.0,True,True,auditable,,probe_country_service
FJ,F-Root,dns_root,anycast,4,2,2,0.5,0.5,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FM,F-Root,dns_root,anycast,5,3,3,0.6,0.6,3,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FR,F-Root,dns_root,anycast,1900,1819,0,0.0,0.9573684210526315,951,163,1,1,0.008421052631578947,True,True,auditable,,probe_country_service
GB,F-Root,dns_root,anycast,1043,949,2,0.0019175455417066154,0.909875359539789,522,186,1,1,0.1850431447746884,True,True,auditable,,probe_country_service
GE,F-Root,dns_root,anycast,20,20,0,0.0,1.0,10,6,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
