probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
DZ,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
EC,M-Root,dns_root,anycast,48,46,0,0.0,0.9583333333333334,24,19,1,1,0.9583333333333334,True,True,auditable,,probe_country_service
EE,M-Root,dns_root,anycast,76,66,24,0.3157894736842105,0.868421052631579,38,22,1,1,0.868421052631579,True,True,auditable,,probe_country_service
EG,M-Root,dns_root,anycast,4,4,0,0.0,1.0,2,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
ES,M-Root,dns_root,anycast,461,442,40,0.08676789587852494,0.9587852494577006,230,73,1,1,0.9436008676789588,True,True,auditable,,probe_country_service
ET,M-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FI,M-Root,dns_root,anycast,282,269,122,0.4326241134751773,0.9539007092198581,142,50,1,1,0.9468085106382979,True,True,auditable,,probe_country_service
FJ,M-Root,dns_root,anycast,4,2,2,0.5,0.5,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FM,M-Root,dns_root,anycast,5,3,3,0.6,0.6,3,1,1,1,0.6,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
FR,M-Root,dns_root,anycast,1899,1824,29,0.015271195365982097,0.9605055292259084,950,163,1,1,0.9531332280147446,True,True,auditable,,probe_country_service
GB,M-Root,dns_root,anycast,1045,1002,28,0.026794258373205742,0.9588516746411483,523,186,1,1,0.9531100478468899,True,True,auditable,,probe_country_service
GE,M-Root,dns_root,anycast,20,20,0,0.0,1.0,10,6,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
GF,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GG,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GH,M-Root,dns_root,anycast,6,6,2,0.3333333333333333,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GP,M-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GQ,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
GR,M-Root,dns_root,anycast,146,136,0,0.0,0.9315068493150684,73,26,1,1,0.9315068493150684,True,True,auditable,,probe_country_service
GT,M-Root,dns_root,anycast,8,4,0,0.0,0.5,4,3,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
GU,M-Root,dns_root,anycast,18,18,18,1.0,1.0,9,5,1,1,0.2222222222222222,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HK,M-Root,dns_root,anycast,98,91,74,0.7551020408163265,0.9285714285714286,49,32,1,1,0.9285714285714286,True,True,auditable,,probe_country_service
HN,M-Root,dns_root,anycast,18,14,8,0.4444444444444444,0.7777777777777778,9,6,1,1,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
HR,M-Root,dns_root,anycast,84,84,4,0.047619047619047616,1.0,42,20,1,1,1.0,True,True,auditable,,probe_country_service
HT,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
HU,M-Root,dns_root,anycast,110,104,2,0.01818181818181818,0.9454545454545454,55,23,1,1,0.9454545454545454,True,True,auditable,,probe_country_service
ID,M-Root,dns_root,anycast,158,157,111,0.7025316455696202,0.9936708860759493,79,57,1,1,0.9936708860759493,True,True,auditable,,probe_country_service
IE,M-Root,dns_root,anycast,175,171,0,0.0,0.9771428571428571,88,25,1,1,0.9542857142857143,True,True,auditable,,probe_country_service
IL,M-Root,dns_root,anycast,57,57,42,0.7368421052631579,1.0,29,12,1,1,1.0,True,True,auditable,,probe_country_service
IM,M-Root,dns_root,anycast,6,6,4,0.6666666666666666,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IN,M-Root,dns_root,anycast,273,240,81,0.2967032967032967,0.8791208791208791,135,59,1,1,0.8644688644688645,True,True,auditable,,probe_country_service
IQ,M-Root,dns_root,anycast,16,16,0,0.0,1.0,8,6,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
IR,M-Root,dns_root,anycast,88,47,4,0.045454545454545456,0.5340909090909091,44,22,1,1,0.5113636363636364,True,True,auditable,,probe_country_service
IS,M-Root,dns_root,anycast,22,22,0,0.0,1.0,11,8,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
IT,M-Root,dns_root,anycast,612,582,36,0.058823529411764705,0.9509803921568627,307,102,1,1,0.9183006535947712,True,True,auditable,,probe_country_service
JO,M-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
JP,M-Root,dns_root,anycast,449,424,6,0.013363028953229399,0.9443207126948775,224,99,1,1,0.9398663697104677,True,True,auditable,,probe_country_service
