probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45147->6939,2,0.05714285714285714,13,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,147094->2914,1,0.02857142857142857,14,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
ID,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138115->149391,1,0.02857142857142857,15,False,False,False,132,35,80,17,0.26515151515151514,0.6060606060606061,0.12878787878787878,18,14
IN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9498->36236,58,0.9830508474576272,1,True,False,False,124,59,57,8,0.47580645161290325,0.4596774193548387,0.06451612903225806,45,21
IN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,132933->4755,1,0.01694915254237288,2,False,True,False,124,59,57,8,0.47580645161290325,0.4596774193548387,0.06451612903225806,45,21
IN,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9498->36236,58,0.9830508474576272,1,True,False,False,122,59,57,6,0.48360655737704916,0.4672131147540984,0.04918032786885246,45,21
IN,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,132933->4755,1,0.01694915254237288,2,False,True,False,122,59,57,6,0.48360655737704916,0.4672131147540984,0.04918032786885246,45,21
KY,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36549->3855,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
LK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17470->15412,2,0.4,1,True,False,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45489->1299,1,0.2,2,False,True,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15412->3491,1,0.2,3,False,False,True,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4755->6453,1,0.2,4,False,False,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17470->15412,2,0.4,1,True,False,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45489->1299,1,0.2,2,False,True,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15412->3491,1,0.2,3,False,False,True,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
LK,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4755->6453,1,0.2,4,False,False,False,17,5,12,0,0.29411764705882354,0.7058823529411765,0.0,3,3
ML,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8346->6453,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
ML,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8346->6453,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
MT,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15735->1299,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
MT,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15735->1299,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
MV,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24016->45489,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,1
MV,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24016->45489,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,1
MX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,265539->23520,4,1.0,1,True,False,False,4,4,0,0,1.0,0.0,0.0,2,2
MX,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,265539->23520,4,1.0,1,True,False,False,4,4,0,0,1.0,0.0,0.0,2,2
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,852->3257,6,0.13636363636363635,1,True,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3356->3549,6,0.13636363636363635,2,False,True,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9498->36236,4,0.09090909090909091,3,False,False,True,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23520->1299,3,0.06818181818181818,4,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24203->6453,2,0.045454545454545456,5,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,55885->38800,2,0.045454545454545456,6,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8434->29518,2,0.045454545454545456,7,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,719->6667,2,0.045454545454545456,8,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58453->3491,2,0.045454545454545456,9,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,63956->36236,2,0.045454545454545456,10,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5416->36236,2,0.045454545454545456,11,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9808->58453,2,0.045454545454545456,12,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5786->20080,2,0.045454545454545456,13,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
NA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,15735->1299,2,0.045454545454545456,14,False,False,False,347,44,266,37,0.12680115273775217,0.7665706051873199,0.10662824207492795,24,0
