landing_station_id,landing_station_name,landing_region_id,landing_region_label,latitude,longitude,region_assignment_method
baie-longue-saint-martin,"Baie Longue, Saint Martin",landing_region_0105,"Baie Longue, Saint Martin",18.05965128120834,-63.14570622695726,geographic_connected_component
baie-mahault-guadeloupe,"Baie-Mahault, Guadeloupe",landing_region_0106,"Baie-Mahault, Guadeloupe",16.244479667931955,-61.5717247194846,geographic_connected_component
baile-mr-united-kingdom,"Baile Mòr, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",56.329009999999805,-6.394689999999684,geographic_connected_component
baillif-guadeloupe,"Baillif, Guadeloupe",landing_region_0106,"Baie-Mahault, Guadeloupe",16.02894096235337,-61.71394454591877,geographic_connected_component
balboa-panama,"Balboa, Panama",landing_region_0107,"Balboa, Panama",8.950027090049982,-79.56667848090554,geographic_connected_component
balchik-bulgaria,"Balchik, Bulgaria",landing_region_0108,"Balchik, Bulgaria",43.41434082476211,28.167437093767106,geographic_connected_component
baler-philippines,"Baler, Philippines",landing_region_0109,"Baler, Philippines",15.76153,121.56019,geographic_connected_component
bali-indonesia,"Bali, Indonesia",landing_region_0110,"Bali, Indonesia",-8.410099999999819,115.69240000000046,geographic_connected_component
balikpapan-indonesia,"Balikpapan, Indonesia",landing_region_0111,"Balikpapan, Indonesia",-1.265365259496888,116.83119264290589,geographic_connected_component
balla-united-kingdom,"Balla, United Kingdom",landing_region_0112,"Balla, United Kingdom",57.0815220684469,-7.312176444016704,geographic_connected_component
ballesteros-philippines,"Ballesteros, Philippines",landing_region_0113,"Ballesteros, Philippines",18.40940773757574,121.51395299746949,geographic_connected_component
ballinesker-ireland,"Ballinesker, Ireland",landing_region_0114,"Ballinesker, Ireland",52.401459561554596,-6.364862661977602,geographic_connected_component
balluta-bay-malta,"Balluta Bay, Malta",landing_region_0102,"Bahar ic-Caghaq, Malta",35.93405994507042,14.380044517135529,geographic_connected_component
ballygrangans-ireland,"Ballygrangans, Ireland",landing_region_0114,"Ballinesker, Ireland",52.18407589401448,-6.558807837085033,geographic_connected_component
ballyhornan-united-kingdom,"Ballyhornan, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",54.3021,-5.559439999999554,geographic_connected_component
ballywater-united-kingdom,"Ballywater, United Kingdom",landing_region_0007,"Achnaba, United Kingdom",54.542741580201856,-5.484394535704497,geographic_connected_component
