country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
CO,3,1,52320->52320,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0,transition_near_country
CW,8,2,23520->23520,0.875,1.0,1.0,0.37677016125643675,0.5435644431995964,1.4575692649810903,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,8,0.0,1.0,transition_near_country
CY,8,5,5504->1299,0.25,0.5,0.75,1.559581156259877,0.9690222556651344,4.756828460010884,broad_network_transition_distribution,0.125,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,5,0.0,1.0,transition_near_country
DJ,6,4,6939->6939,0.5,0.6666666666666666,0.8333333333333333,1.2424533248940002,0.8962406251802891,3.464101615137755,weak_network_transition_concentration,0.3333333333333333,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,6,0.0,1.0,transition_near_country
DK,36,5,174->174,0.7777777777777778,0.8611111111111112,0.9166666666666666,0.8232369419797262,0.5115058714720282,2.2778612215303347,moderate_network_transition_concentration,0.05555555555555555,True,True,auditable,,36,30,0.0,1.0,transition_near_country
DO,7,5,64126->174,0.42857142857142855,0.5714285714285714,0.7142857142857142,1.475076311054695,0.9165164431996026,4.371369344007118,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,7,0.2857142857142857,0.7142857142857143,transition_near_country
EE,16,5,2586->6667,0.3125,0.5625,0.8125,1.4898487964741864,0.9256951044610051,4.436424665235825,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,16,11,0.0,1.0,transition_near_country
ES,35,9,6939->6939,0.5142857142857142,0.7714285714285714,0.8285714285714285,1.4642621415100756,0.666414419633544,4.324351303524044,weak_network_transition_concentration,0.02857142857142857,True,True,auditable,,35,27,0.02857142857142857,0.9714285714285714,transition_near_country
FI,123,28,1299->1299,0.35772357723577236,0.43902439024390244,0.5121951219512195,2.581974583348095,0.7748547772094388,13.223222753538012,broad_network_transition_distribution,0.08943089430894309,True,True,auditable,,113,54,0.12195121951219512,0.8780487804878049,transition_near_country
FJ,6,5,38442->38442,0.3333333333333333,0.5,0.6666666666666666,1.5607104090414068,0.9697238998682475,4.7622031559046,broad_network_transition_distribution,0.16666666666666666,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.0,1.0,transition_near_country
FR,317,61,1299->1299,0.24290220820189273,0.4605678233438486,0.5331230283911672,2.871709835006348,0.6985643271698494,17.66720038688977,broad_network_transition_distribution,0.03470031545741325,True,True,auditable,,317,217,0.0,1.0,transition_near_country
GB,3,1,174->174,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0,transition_near_country
GG,2,1,8680->8680,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1.0,0.0,transition_near_country
GH,1,1,37468->37468,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
GP,2,1,21351->21351,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1.0,0.0,transition_near_country
GU,10,5,174->174,0.3,0.6,0.8,1.5047882836811908,0.9349775297671233,4.503200128402044,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,0.0,1.0,transition_near_country
HK,172,81,2914->2914,0.09302325581395349,0.1569767441860465,0.21511627906976744,3.9855393011601645,0.9069485527947234,53.814303769922404,broad_network_transition_distribution,0.06976744186046512,True,True,auditable,,153,123,0.45348837209302323,0.5465116279069767,transition_near_country
HN,8,4,263725->54082,0.375,0.625,0.875,1.3208883431493221,0.9528195311147832,3.7467482975009925,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,8,0.0,1.0,transition_near_country
ID,148,50,7713->7713,0.3783783783783784,0.43243243243243246,0.472972972972973,2.9320060943224133,0.7494859028830082,18.765237598969534,broad_network_transition_distribution,0.060810810810810814,True,True,auditable,,87,72,0.6283783783783784,0.3716216216216216,transition_near_country
IE,4,1,174->174,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0,transition_near_country
