country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,142360->142360,as_transition,2,2,0.013333333333333334,25,False,False,False,False,150,54,39,2,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,142360->136106,as_transition,2,2,0.013333333333333334,26,False,False,False,False,150,54,39,2,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,138115->149391,as_transition,1,1,0.006666666666666667,27,False,False,False,False,150,54,39,1,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9340->136106,as_transition,1,1,0.006666666666666667,28,False,False,False,False,150,54,39,1,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45147->1299,as_transition,1,1,0.006666666666666667,29,False,False,False,False,150,54,39,0,1
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,55685->55685,as_transition,1,1,0.006666666666666667,30,False,False,False,False,150,54,39,1,0
ID,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,24203->2906,as_transition,1,1,0.006666666666666667,31,False,False,False,False,150,54,39,0,1
IL,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,12400->12400,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
IN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->2906,as_transition,18,18,0.6,1,True,False,False,False,30,19,13,18,0
IN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6453->6453,as_transition,7,7,0.23333333333333334,2,False,True,False,False,30,19,13,0,7
IN,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6453->2906,as_transition,5,5,0.16666666666666666,3,False,False,True,False,30,19,13,0,5
KY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,36549->3855,as_transition,3,3,1.0,1,True,False,False,False,3,1,1,0,3
LC,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
LK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,18001->18001,as_transition,14,14,0.6086956521739131,1,True,False,False,False,23,10,4,0,14
LK,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45489->-1,as_transition,9,9,0.391304347826087,2,False,True,False,False,23,10,4,0,9
MM,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,136168->136168,as_transition,3,3,1.0,1,True,False,False,False,3,2,2,0,3
MP,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7131->7131,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MT,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,15735->1299,as_transition,6,6,1.0,1,True,False,False,False,6,3,2,0,6
MV,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7642->-1,as_transition,13,13,0.5416666666666666,1,True,False,False,False,24,10,3,0,13
MV,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7642->2906,as_transition,8,8,0.3333333333333333,2,False,True,False,False,24,10,3,0,8
MV,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,24016->45489,as_transition,3,3,0.125,3,False,False,True,False,24,10,3,0,3
MX,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,265539->23520,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38466->38466,as_transition,3,3,0.25,1,True,False,False,False,12,6,6,3,0
MY,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,45352->45352,as_transition,3,3,0.25,2,False,True,False,False,12,6,6,0,3
