probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
IE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,114,114,30,0.2631578947368421,0.2631578947368421,0.16666666666666666,0.03508771929824561,0.13157894736842105,0.18421052631578946,30,0.2631578947368421,1.0,67,18,111,105,1.0,True,True,auditable,,probe_country_service
IL,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,94,91,59,0.6276595744680851,0.6276595744680851,0.1595744680851064,0.031914893617021274,0.1595744680851064,0.574468085106383,59,0.6276595744680851,0.9680851063829787,30,12,94,87,0.4148936170212766,True,True,auditable,,probe_country_service
IL,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,39,39,25,0.6410256410256411,0.6410256410256411,0.1794871794871795,0.05128205128205128,0.1794871794871795,0.5897435897435898,25,0.6410256410256411,1.0,22,10,39,35,1.0,True,True,auditable,,probe_country_service
IN,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,442,376,139,0.31447963800904977,0.31447963800904977,0.24434389140271492,0.03167420814479638,0.22624434389140272,0.17873303167420815,139,0.31447963800904977,0.8506787330316742,135,59,407,350,0.36425339366515835,True,True,auditable,,probe_country_service
IN,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,161,161,61,0.37888198757763975,0.37888198757763975,0.2795031055900621,0.043478260869565216,0.2608695652173913,0.2360248447204969,61,0.37888198757763975,1.0,102,49,156,145,1.0,True,True,auditable,,probe_country_service
IR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,137,70,10,0.072992700729927,0.072992700729927,0.0364963503649635,0.0072992700729927005,0.029197080291970802,0.043795620437956206,10,0.072992700729927,0.5109489051094891,44,22,124,114,0.25547445255474455,True,True,auditable,,probe_country_service
IR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,35,35,4,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,4,0.11428571428571428,1.0,21,13,34,32,1.0,True,True,auditable,,probe_country_service
IS,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,36,36,7,0.19444444444444445,0.19444444444444445,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,7,0.19444444444444445,1.0,11,8,36,35,0.4444444444444444,True,True,auditable,,probe_country_service
IT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,987,919,165,0.16717325227963525,0.16717325227963525,0.09219858156028368,0.016210739614994935,0.08409321175278622,0.11448834853090173,165,0.16717325227963525,0.9311043566362716,307,102,955,737,0.3677811550151976,True,True,auditable,,probe_country_service
IT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,363,363,85,0.23415977961432508,0.23415977961432508,0.1322314049586777,0.027548209366391185,0.1184573002754821,0.1652892561983471,85,0.23415977961432508,1.0,223,82,354,294,1.0,True,True,auditable,,probe_country_service
JP,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,721,665,190,0.2635228848821082,0.2635228848821082,0.0970873786407767,0.019417475728155338,0.08599167822468794,0.20665742024965325,190,0.2635228848821082,0.9223300970873787,225,99,704,567,0.3897364771151179,True,True,auditable,,probe_country_service
JP,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,281,281,83,0.29537366548042704,0.29537366548042704,0.10320284697508897,0.021352313167259787,0.08540925266903915,0.24555160142348753,83,0.29537366548042704,1.0,165,77,281,229,1.0,True,True,auditable,,probe_country_service
KE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,50,44,17,0.34,0.34,0.12,0.0,0.12,0.3,17,0.34,0.88,15,10,48,46,0.26,True,True,auditable,,probe_country_service
KG,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,63,57,10,0.15873015873015872,0.15873015873015872,0.09523809523809523,0.015873015873015872,0.07936507936507936,0.07936507936507936,10,0.15873015873015872,0.9047619047619048,20,13,63,61,0.3333333333333333,True,True,auditable,,probe_country_service
KR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,73,58,15,0.2054794520547945,0.2054794520547945,0.1232876712328767,0.0,0.1232876712328767,0.1643835616438356,15,0.2054794520547945,0.7945205479452054,22,12,71,67,0.410958904109589,True,True,auditable,,probe_country_service
KR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,30,30,9,0.3,0.3,0.16666666666666666,0.0,0.16666666666666666,0.2,9,0.3,1.0,17,10,30,29,1.0,True,True,auditable,,probe_country_service
KZ,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,178,175,27,0.15168539325842698,0.15168539325842698,0.06741573033707865,0.0056179775280898875,0.06179775280898876,0.10674157303370786,27,0.15168539325842698,0.9831460674157303,54,20,174,160,0.48314606741573035,True,True,auditable,,probe_country_service
KZ,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,86,86,15,0.1744186046511628,0.1744186046511628,0.08139534883720931,0.0,0.08139534883720931,0.12790697674418605,15,0.1744186046511628,1.0,47,19,82,73,1.0,True,True,auditable,,probe_country_service
LK,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,40,37,31,0.775,0.775,0.675,0.25,0.675,0.35,31,0.775,0.925,13,6,37,36,0.3,True,True,auditable,,probe_country_service
LT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,115,107,30,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.017391304347826087,0.11304347826086956,0.22608695652173913,30,0.2608695652173913,0.9304347826086956,36,21,115,108,0.3739130434782609,True,True,auditable,,probe_country_service
LT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,43,43,13,0.3023255813953488,0.3023255813953488,0.20930232558139536,0.023255813953488372,0.18604651162790697,0.20930232558139536,13,0.3023255813953488,1.0,28,19,43,42,1.0,True,True,auditable,,probe_country_service
LU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,119,110,19,0.15966386554621848,0.15966386554621848,0.06722689075630252,0.01680672268907563,0.05042016806722689,0.13445378151260504,19,0.15966386554621848,0.9243697478991597,38,20,117,107,0.3865546218487395,True,True,auditable,,probe_country_service
LU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,46,46,8,0.17391304347826086,0.17391304347826086,0.08695652173913043,0.021739130434782608,0.06521739130434782,0.15217391304347827,8,0.17391304347826086,1.0,28,17,46,42,1.0,True,True,auditable,,probe_country_service
LV,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,97,92,17,0.17525773195876287,0.17525773195876287,0.10309278350515463,0.020618556701030927,0.09278350515463918,0.10309278350515463,17,0.17525773195876287,0.9484536082474226,30,19,97,90,0.4329896907216495,True,True,auditable,,probe_country_service
LV,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,42,42,5,0.11904761904761904,0.11904761904761904,0.07142857142857142,0.023809523809523808,0.07142857142857142,0.07142857142857142,5,0.11904761904761904,1.0,24,17,42,39,1.0,True,True,auditable,,probe_country_service
