probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,1,1,0.045454545454545456,6,False,False,False,False,22,20,7,0,1
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9505->9505,as_transition,1,1,0.045454545454545456,7,False,False,False,False,22,20,7,0,1
TW,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3462->3462,as_transition,1,1,0.045454545454545456,8,False,False,False,False,22,20,7,1,0
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,3,3,0.375,1,True,False,False,False,8,8,8,2,1
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,26370->-1,as_transition,1,1,0.125,2,False,True,False,False,8,8,8,1,0
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->3356,as_transition,1,1,0.125,3,False,False,True,False,8,8,8,0,1
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,1,1,0.125,4,False,False,False,False,8,8,8,1,0
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7018->7018,as_transition,1,1,0.125,5,False,False,False,False,8,8,8,1,0
US,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,14638->23520,as_transition,1,1,0.125,6,False,False,False,False,8,8,8,0,1
VI,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,14434->14434,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
VN,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2914->2914,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
ZA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37640->60171,as_transition,3,3,0.5,1,True,False,False,False,6,6,3,0,3
ZA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,37100->37100,as_transition,3,3,0.5,2,False,True,False,False,6,6,3,0,3
