network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
country_only,corridor,conservative_set,all,14,0,0.16129032258064516,0.22727272727272727,0.6517857142857143,0.005297369790330146,0,,,"country_only network definition, corridor-level, conservative feasible-set view, all projections"
country_only,corridor,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"country_only network definition, corridor-level, conservative feasible-set view, strong projections only"
country_only,corridor,conservative_set,strong_or_moderate,10,0,0.0,0.0,0.3870967741935484,-0.1959200800999011,0,,,"country_only network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
country_only,corridor,weighted_support,all,4,0,0.0,0.0,0.5555555555555556,-0.21663389879509595,0,,,"country_only network definition, corridor-level, weighted support view, all projections"
country_only,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"country_only network definition, corridor-level, weighted support view, strong projections only"
country_only,corridor,weighted_support,strong_or_moderate,10,0,0.0,0.0,0.3870967741935484,-0.2198768350757249,0,,,"country_only network definition, corridor-level, weighted support view, strong/moderate projections only"
dst_asn_primary,cable,conservative_set,all,10,0,0.10344827586206896,0.13636363636363635,0.5625,0.22301311879417748,0,,,"dst_asn_primary network definition, cable-level, conservative feasible-set view, all projections"
dst_asn_primary,cable,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"dst_asn_primary network definition, cable-level, conservative feasible-set view, strong projections only"
dst_asn_primary,cable,conservative_set,strong_or_moderate,5,1,0.0,0.0,0.3548387096774194,-0.1001717065201744,0,,,"dst_asn_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
dst_asn_primary,cable,weighted_support,all,12,4,0.0,0.0,0.4305555555555556,-0.06878185256793226,0,,,"dst_asn_primary network definition, cable-level, weighted support view, all projections"
dst_asn_primary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"dst_asn_primary network definition, cable-level, weighted support view, strong projections only"
dst_asn_primary,cable,weighted_support,strong_or_moderate,7,0,0.0,0.0,0.3548387096774194,0.03917215944115617,0,,,"dst_asn_primary network definition, cable-level, weighted support view, strong/moderate projections only"
dst_asn_primary,corridor,conservative_set,all,12,0,0.21428571428571427,0.2727272727272727,0.6785714285714286,0.4176081846400533,0,,,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, all projections"
dst_asn_primary,corridor,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, strong projections only"
dst_asn_primary,corridor,conservative_set,strong_or_moderate,9,0,0.0,0.0,0.3548387096774194,-0.2921338175028877,0,,,"dst_asn_primary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
dst_asn_primary,corridor,weighted_support,all,6,5,0.0,0.0,0.5277777777777778,0.12962165985436913,0,,,"dst_asn_primary network definition, corridor-level, weighted support view, all projections"
dst_asn_primary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"dst_asn_primary network definition, corridor-level, weighted support view, strong projections only"
dst_asn_primary,corridor,weighted_support,strong_or_moderate,9,0,0.0,0.0,0.3548387096774194,-0.3074827080180757,0,,,"dst_asn_primary network definition, corridor-level, weighted support view, strong/moderate projections only"
geographic_transition_supplementary,cable,conservative_set,all,11,0,0.06451612903225806,0.09090909090909091,0.5446428571428571,-0.00015892933878656557,0,,,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, all projections"
geographic_transition_supplementary,cable,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
geographic_transition_supplementary,cable,conservative_set,strong_or_moderate,4,3,0.0,0.0,0.5161290322580645,-0.08086829822774766,0,,,"geographic_transition_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
geographic_transition_supplementary,cable,weighted_support,all,10,0,0.0,0.0,0.4583333333333333,-0.236499902890331,0,,,"geographic_transition_supplementary network definition, cable-level, weighted support view, all projections"
geographic_transition_supplementary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"geographic_transition_supplementary network definition, cable-level, weighted support view, strong projections only"
geographic_transition_supplementary,cable,weighted_support,strong_or_moderate,6,0,0.0,0.0,0.45161290322580644,0.02615370160153747,0,,,"geographic_transition_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
geographic_transition_supplementary,corridor,conservative_set,all,14,0,0.16129032258064516,0.22727272727272727,0.6517857142857143,0.005297369790330146,0,,,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
geographic_transition_supplementary,corridor,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
geographic_transition_supplementary,corridor,conservative_set,strong_or_moderate,10,0,0.0,0.0,0.3870967741935484,-0.1959200800999011,0,,,"geographic_transition_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
geographic_transition_supplementary,corridor,weighted_support,all,4,0,0.0,0.0,0.5555555555555556,-0.21663389879509595,0,,,"geographic_transition_supplementary network definition, corridor-level, weighted support view, all projections"
geographic_transition_supplementary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"geographic_transition_supplementary network definition, corridor-level, weighted support view, strong projections only"
geographic_transition_supplementary,corridor,weighted_support,strong_or_moderate,10,0,0.0,0.0,0.3870967741935484,-0.2198768350757249,0,,,"geographic_transition_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
