probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
LV,59,53,0,0.0,0.8983050847457628,1,30,19,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,49,47,0,0.0,0.9591836734693877,1,25,15,2,2
ME,12,12,2,0.16666666666666666,1.0,1,6,5,2,1
MG,2,2,0,0.0,1.0,1,1,1,1,1
MH,2,2,1,0.5,1.0,1,1,1,1,1
MK,18,17,0,0.0,0.9444444444444444,1,10,8,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,3,0.5,1.0,1,3,3,1,1
MN,13,13,7,0.5384615384615384,1.0,1,7,7,2,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,16,16,16,1.0,1.0,1,8,2,2,1
MU,14,14,1,0.07142857142857142,1.0,1,8,4,4,1
MV,21,21,19,0.9047619047619048,1.0,1,11,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,83,81,4,0.04819277108433735,0.9759036144578314,1,42,21,5,1
MY,61,58,23,0.3770491803278688,0.9508196721311475,1,33,18,3,1
MZ,5,5,0,0.0,1.0,1,3,3,1,1
NA,3311,3052,490,0.14799154334038056,0.9217758985200846,1,1708,4,25,4
NC,9,9,9,1.0,1.0,1,5,2,1,1
NG,15,15,7,0.4666666666666667,1.0,1,9,6,2,1
NI,12,12,0,0.0,1.0,1,6,4,1,1
NL,1095,688,2,0.0018264840182648401,0.628310502283105,1,572,158,5,2
NO,168,158,76,0.4523809523809524,0.9404761904761905,1,88,33,4,2
NP,29,29,0,0.0,1.0,1,15,9,1,1
NZ,187,171,112,0.5989304812834224,0.9144385026737968,1,97,32,3,1
OM,2,2,0,0.0,1.0,1,1,1,1,1
PA,33,33,8,0.24242424242424243,1.0,1,17,10,1,1
PE,36,36,25,0.6944444444444444,1.0,1,20,15,1,1
PF,10,10,0,0.0,1.0,1,5,1,2,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,112,103,82,0.7321428571428571,0.9196428571428571,1,59,33,4,2
PK,11,7,0,0.0,0.6363636363636364,1,6,5,3,1
PL,395,361,0,0.0,0.9139240506329114,1,203,120,4,2
PR,2,2,0,0.0,1.0,1,1,1,1,1
PS,2,1,0,0.0,0.5,1,1,1,2,1
PT,176,159,69,0.39204545454545453,0.9034090909090909,1,90,21,3,2
PW,1,1,0,0.0,1.0,1,1,1,1,1
PY,20,19,0,0.0,0.95,1,10,8,2,2
QA,2,2,0,0.0,1.0,1,1,1,1,1
RE,72,72,0,0.0,1.0,1,36,4,2,1
RO,159,92,0,0.0,0.5786163522012578,1,81,43,3,1
RS,88,80,0,0.0,0.9090909090909091,1,45,16,2,1
RU,843,785,2,0.002372479240806643,0.9311981020166074,1,428,264,5,2
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,29,19,4,0.13793103448275862,0.6551724137931034,1,15,8,3,1
SE,376,355,84,0.22340425531914893,0.9441489361702128,1,198,70,3,2
SG,213,196,17,0.07981220657276995,0.92018779342723,1,114,57,5,2
SI,84,81,0,0.0,0.9642857142857143,1,43,19,3,2
SK,95,85,0,0.0,0.8947368421052632,1,48,21,2,1
SL,1,1,1,1.0,1.0,1,1,1,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,20,20,4,0.2,1.0,1,11,6,1,1
SY,2,2,0,0.0,1.0,1,1,1,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,75,70,30,0.4,0.9333333333333333,1,39,24,2,1
TJ,26,24,0,0.0,0.9230769230769231,1,14,10,2,1
TL,8,8,8,1.0,1.0,1,4,2,1,1
TN,16,12,0,0.0,0.75,1,8,5,2,2
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,108,107,0,0.0,0.9907407407407407,1,58,29,3,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,1,1,1,1.0,1.0,1,1,1,1,1
TW,117,115,92,0.7863247863247863,0.9829059829059829,1,64,30,3,1
TZ,7,7,2,0.2857142857142857,1.0,1,4,3,1,1
UA,291,241,0,0.0,0.8281786941580757,1,150,103,4,2
UG,12,12,0,0.0,1.0,1,6,4,2,1
US,3188,3075,207,0.06493099121706399,0.9645545796737767,1,1640,437,8,2
UY,36,35,0,0.0,0.9722222222222222,1,19,5,2,2
UZ,19,18,0,0.0,0.9473684210526315,1,10,8,2,2
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,62,50,11,0.1774193548387097,0.8064516129032258,1,35,24,3,2
VI,4,4,2,0.5,1.0,1,2,2,1,1
VN,46,46,28,0.6086956521739131,1.0,1,24,13,1,1
VU,2,1,1,0.5,0.5,1,1,1,2,2
XK,4,4,0,0.0,1.0,1,2,2,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,211,205,41,0.1943127962085308,0.9715639810426541,1,112,63,3,1
ZM,8,8,1,0.125,1.0,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,2,1
