country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
ID,landing_region_149ad599e1a3::landing_region_ce5716d12955,"Tanjung Bemban, Indonesia -> Ancol, Indonesia",42.5,85,85,85,44,35,67,52,0.20334928229665072,2,False,True,False,22.5,20.0
ID,landing_region_ce5716d12955::landing_region_d0ecf913edd7,"Ancol, Indonesia -> Katong, Singapore",42.5,85,85,85,44,35,67,52,0.20334928229665072,3,False,False,True,22.5,20.0
ID,landing_region_16506ee61a44::landing_region_d0ecf913edd7,"Medan, Indonesia -> Katong, Singapore",8.0,8,8,8,4,2,67,52,0.03827751196172249,4,False,False,False,4.0,4.0
ID,landing_region_26e606e1a782::landing_region_ce5716d12955,"Gresik, Indonesia -> Ancol, Indonesia",6.0,6,6,6,4,3,67,52,0.028708133971291867,5,False,False,False,6.0,0.0
ID,landing_region_149ad599e1a3::landing_region_26e606e1a782,"Tanjung Bemban, Indonesia -> Gresik, Indonesia",5.0,5,5,5,3,3,67,52,0.023923444976076555,6,False,False,False,5.0,0.0
ID,landing_region_150b225bb130::landing_region_ce5716d12955,"Cirebon, Indonesia -> Ancol, Indonesia",4.0,4,4,4,2,2,67,52,0.019138755980861243,7,False,False,False,4.0,0.0
ID,landing_region_58934ccdf4e7::landing_region_ce5716d12955,"Kendal, Indonesia -> Ancol, Indonesia",3.0,3,3,3,2,2,67,52,0.014354066985645933,8,False,False,False,3.0,0.0
ID,landing_region_8b50d5cb7b72::landing_region_ce5716d12955,"Senggigi, Indonesia -> Ancol, Indonesia",2.0,2,2,2,1,1,67,52,0.009569377990430622,9,False,False,False,2.0,0.0
IL,landing_region_7559ef31b258::landing_region_c6ca70161fbc,"Netanya, Israel -> Rishon Le’Zion, Israel",42.666666666666664,54,54,33,18,8,18,8,0.6994535519125683,1,True,False,False,42.666666666666664,0.0
IL,landing_region_c6ca70161fbc::landing_region_d42b6ba4dd12,"Rishon Le’Zion, Israel -> Haifa, Israel",7.666666666666666,20,20,10,5,3,18,8,0.12568306010928962,2,False,True,False,7.666666666666666,0.0
IL,landing_region_7559ef31b258::landing_region_d42b6ba4dd12,"Netanya, Israel -> Haifa, Israel",5.666666666666666,16,16,10,5,3,18,8,0.09289617486338797,3,False,False,True,5.666666666666666,0.0
IL,landing_region_08ea81d123b5::landing_region_c6ca70161fbc,"Marseille, France -> Rishon Le’Zion, Israel",5.0,5,5,5,3,2,18,8,0.08196721311475409,4,False,False,False,0.0,5.0
