unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
NA,CY,MULTI,MULTI,root_dns_traces.json,13,8,3,1,73,2,4,5,1.2660032114755209,3.5466489909402483,6,1.4520059975454225,4.271674895602571,3.5466489909402483,cable,7,5,7.0,5.0,7.0,0.5066641415628926,-0.5650510655632988,1.9736940469387239,no_compression,0.7126436781609196,0.7011494252873564,-12.0,False,network_high_physical_upper_high,5.278027954835062,0.3804347826086957,medium
NA,CY,MULTI,MULTI,root_dns_traces.json,13,8,3,1,73,2,4,5,1.2660032114755209,3.5466489909402483,6,1.4520059975454225,4.271674895602571,3.5466489909402483,corridor,7,5,7.0,5.0,5.0,0.7093297981880496,-0.27736899311151797,1.4097814620990885,no_compression,0.7126436781609196,0.47126436781609193,2.0,False,network_high_physical_upper_low,5.278027954835062,0.3804347826086957,medium
NA,DE,MULTI,MULTI,root_dns_traces.json,12,33,10,1,67,8,5,8,1.6895355897739077,5.416964427209458,10,1.9988206556392871,7.380346993815811,5.416964427209458,cable,4,6,4.0,6.0,4.0,1.3542411068023645,0.24950726279537494,0.7384209465928863,weak_compression,0.8505747126436781,0.42528735632183906,3.0,False,network_high_physical_upper_low,24.754048429722108,0.9945652173913044,high
NA,DE,MULTI,MULTI,root_dns_traces.json,12,33,10,1,67,8,5,8,1.6895355897739077,5.416964427209458,10,1.9988206556392871,7.380346993815811,5.416964427209458,corridor,4,6,4.0,6.0,6.0,0.9028274045349097,-0.08696497382583801,1.1076314198893293,no_compression,0.8505747126436781,0.5402298850574713,13.0,False,network_high_physical_upper_high,24.754048429722108,0.9945652173913044,high
NA,DJ,MULTI,MULTI,root_dns_traces.json,4,3,2,1,9,2,1,2,0.6869615765973234,1.9876669750024174,2,0.6869615765973234,1.9876669750024174,1.9876669750024174,cable,9,5,9.0,5.0,9.0,0.2208518861113797,-1.2080922860840744,4.527921484427266,no_compression,0.4482758620689655,0.7758620689655172,-36.0,False,network_low_physical_upper_high,5.41164605185504,0.3858695652173913,medium
NA,DJ,MULTI,MULTI,root_dns_traces.json,4,3,2,1,9,2,1,2,0.6869615765973234,1.9876669750024174,2,0.6869615765973234,1.9876669750024174,1.9876669750024174,corridor,9,5,9.0,5.0,5.0,0.39753339500048346,-0.6972666623180834,2.515511935792926,no_compression,0.4482758620689655,0.47126436781609193,-20.0,False,network_low_physical_upper_low,5.41164605185504,0.3858695652173913,medium
NA,DK,MULTI,MULTI,root_dns_traces.json,13,243,26,1,512,18,10,29,2.4128956530971823,11.166247957282932,47,2.6257126934892843,13.814416122937425,11.166247957282932,cable,12,14,12.0,14.0,12.0,0.9305206631069111,-0.06628380060328798,1.074667161781346,no_compression,0.9655172413793104,0.8275862068965517,7.0,False,network_high_physical_upper_high,15.116666835304722,0.8152173913043478,high
NA,DK,MULTI,MULTI,root_dns_traces.json,13,243,26,1,512,18,10,29,2.4128956530971823,11.166247957282932,47,2.6257126934892843,13.814416122937425,11.166247957282932,corridor,12,14,12.0,14.0,14.0,0.7975891398059237,-0.2093846442439613,1.2537783554115702,no_compression,0.9655172413793104,0.7298850574712644,17.0,False,network_high_physical_upper_high,15.116666835304722,0.8152173913043478,high
NA,DO,MULTI,MULTI,root_dns_traces.json,13,4,4,1,44,4,3,4,1.0097780476720652,2.7449916901030966,4,1.0097780476720652,2.7449916901030966,2.7449916901030966,cable,2,3,2.0,3.0,2.0,1.3724958450515483,0.2218071093675289,0.7285996555876217,weak_compression,0.6206896551724138,0.1896551724137931,-15.0,False,network_high_physical_upper_low,9.743785580711078,0.6467391304347826,medium
NA,DO,MULTI,MULTI,root_dns_traces.json,13,4,4,1,44,4,3,4,1.0097780476720652,2.7449916901030966,4,1.0097780476720652,2.7449916901030966,2.7449916901030966,corridor,2,3,2.0,3.0,3.0,0.9149972300343655,-0.06587496308425189,1.0928994833814327,no_compression,0.6206896551724138,0.28735632183908044,-4.0,False,network_high_physical_upper_low,9.743785580711078,0.6467391304347826,medium
NA,EE,MULTI,MULTI,root_dns_traces.json,13,58,10,1,232,8,7,9,1.6399809613111354,5.155071365500588,12,1.8460238317414734,6.334582017619446,5.155071365500588,cable,12,9,12.0,9.0,12.0,0.42958928045838235,-0.7476730031725025,2.3278048254206327,no_compression,0.8275862068965517,0.8275862068965517,-5.0,False,network_high_physical_upper_high,11.361068767453204,0.7065217391304348,high
NA,EE,MULTI,MULTI,root_dns_traces.json,13,58,10,1,232,8,7,9,1.6399809613111354,5.155071365500588,12,1.8460238317414734,6.334582017619446,5.155071365500588,corridor,12,9,12.0,9.0,9.0,0.5727857072778432,-0.4853087387050117,1.7458536190654745,no_compression,0.8275862068965517,0.6436781609195402,8.0,False,network_high_physical_upper_high,11.361068767453204,0.7065217391304348,high
NA,ES,MULTI,MULTI,root_dns_traces.json,13,74,9,1,169,9,7,9,1.6520931583590912,5.217890275194955,9,1.6520931583590912,5.217890275194955,5.217890275194955,cable,6,5,6.0,5.0,6.0,0.8696483791991593,-0.11847948389240437,1.1498900290263045,no_compression,0.8390804597701149,0.6206896551724138,0.0,False,network_high_physical_upper_high,18.4605300158446,0.907608695652174,high
NA,ES,MULTI,MULTI,root_dns_traces.json,13,74,9,1,169,9,7,9,1.6520931583590912,5.217890275194955,9,1.6520931583590912,5.217890275194955,5.217890275194955,corridor,6,5,6.0,5.0,5.0,1.043578055038991,0.035671195934853905,0.9582416908552539,weak_compression,0.8390804597701149,0.47126436781609193,13.0,False,network_high_physical_upper_low,18.4605300158446,0.907608695652174,high
NA,FI,MULTI,MULTI,root_dns_traces.json,13,196,24,1,737,14,11,18,2.0283995747973504,7.601910329087561,36,2.753121089509806,15.691530206794514,7.601910329087561,cable,14,20,14.0,20.0,14.0,0.5429935949348258,-0.5560658912209986,1.8416423496119279,no_compression,0.9080459770114943,0.8793103448275862,0.0,False,network_high_physical_upper_high,17.104080742172474,0.8858695652173914,high
NA,FI,MULTI,MULTI,root_dns_traces.json,13,196,24,1,737,14,11,18,2.0283995747973504,7.601910329087561,36,2.753121089509806,15.691530206794514,7.601910329087561,corridor,14,20,14.0,20.0,20.0,0.38009551645437806,-0.8925381278422115,2.6309176423027543,no_compression,0.9080459770114943,0.8045977011494253,8.0,False,network_high_physical_upper_high,17.104080742172474,0.8858695652173914,high
