unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,best_case_physical_candidate_diversity_upper_bound,physical_candidate_concentration_tier,is_physical_candidate_concentrated,physical_candidate_exposure_class,sufficient_observation_for_physical_concentration,concentration_interpretation,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_physical_compression_tier,joint_cross_layer_risk_class,is_network_physical_mismatch,is_physical_candidate_concentration_only,is_joint_physical_concentration_and_mismatch,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier,paper_case_scope
NA,GT,msm_5014,5014,root_dns_traces.json,1,5,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
NA,GT,msm_5010,5010,root_dns_traces.json,1,5,1,1,7,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
NA,GT,msm_5011,5011,root_dns_traces.json,1,5,1,1,7,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
NA,LK,msm_5014,5014,root_dns_traces.json,1,5,1,1,7,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,3.465735902799726,0.2391304347826087,low,paper_service_country_cross_layer_audit
NA,ZA,msm_5012,5012,root_dns_traces.json,1,5,3,1,0,0,0,0,0.0,0.0,3,1.0397207708399179,2.82842712474619,2.82842712474619,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,2.82842712474619,0.6493068658935807,0.3535533905932738,weak_compression,weak_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.7863636363636364,0.11079545454545454,-78.0,True,network_high_physical_upper_low,16.271109638736306,0.8695652173913043,high,paper_service_country_cross_layer_audit
NA,AE,msm_5005,5005,root_dns_traces.json,1,5,2,1,0,0,0,0,0.0,0.0,2,0.45056120886630463,1.5691925832141966,1.5691925832141966,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.5691925832141966,0.2504444990298982,0.6372704094431084,weak_compression,weak_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.5517045454545455,0.11079545454545454,-149.0,False,network_high_physical_upper_low,10.82475905840779,0.6847826086956522,high,paper_service_country_cross_layer_audit
NA,AL,MULTI,MULTI,root_dns_traces.json,4,4,1,1,20,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.13793103448275862,0.05747126436781609,-31.0,False,network_low_physical_upper_low,7.162488829251559,0.5108695652173914,medium,paper_country_cross_layer_audit
NA,AL,msm_5006,5006,root_dns_traces.json,1,4,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.162488829251559,0.5108695652173914,medium,paper_service_country_cross_layer_audit
NA,GT,msm_5001,5001,root_dns_traces.json,1,4,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,2,1,2.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
NA,GT,msm_5006,5006,root_dns_traces.json,1,4,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,2,1,2.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,1.0,0.0,1.0,no_compression,no_network_physical_compression,physical_concentration_without_compression,False,True,False,0.2596590909090909,0.11079545454545454,-174.0,False,network_low_physical_upper_low,7.938596614890306,0.5380434782608695,medium,paper_service_country_cross_layer_audit
