country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
NZ,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,17,5,38022->-1,0.35294117647058826,0.5882352941176471,0.7647058823529412,4.561604973452689,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,10,0.7647058823529411,0.23529411764705882
PE,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,1,3356->3549,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
PG,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,1,17828->-1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,49,11,9299->9299,0.4489795918367347,0.5714285714285714,0.6938775510204082,6.469928323074326,broad_network_transition_distribution,0.0,True,True,auditable,,22,13,0.24489795918367346,0.7551020408163265
PK,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,14,1,-1->-1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,0.0,1.0
PR,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,4,2,5786->20080,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
PT,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,1,2860->13335,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
SA,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,1,1,35819->35819,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
SE,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,104,13,1299->1299,0.23076923076923078,0.42307692307692313,0.5961538461538461,8.857072865940724,broad_network_transition_distribution,0.0,True,True,auditable,,61,21,0.41346153846153844,0.5865384615384616
SG,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,3,2,3491->3491,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
SN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,1,8346->6453,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TO,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,1,24390->24390,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TW,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,62,8,3462->-1,0.5806451612903226,0.6774193548387097,0.7741935483870968,4.202326913306572,broad_network_transition_distribution,0.0,True,True,auditable,,28,6,0.9516129032258065,0.04838709677419355
US,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,43,14,174->174,0.4418604651162791,0.5348837209302326,0.5813953488372093,7.95098717480516,broad_network_transition_distribution,0.0,True,True,auditable,,27,13,0.4418604651162791,0.5581395348837209
VI,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,4,1,14434->14434,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
VN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2,2,45899->45899,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
