probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
LS,Topology-IPv4-UDP,all_publicly_visible,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
LS,Topology-IPv4-UDP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
LT,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,43.0,43.0,10.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6046511627906976,0.6744186046511628,0.7325581395348837,1.5152283817284946,0.6580553250078792,4.550460250160117,broad_corridor_observation_distribution,False,False,True,15.0,11.0,1.0,0.627906976744186,0.37209302325581395,0.09302325581395349,True,True,auditable,,probe_country_service
LT,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,16.0,16.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.375,0.5625,0.6875,1.732021011813716,0.890082726920647,5.652065263972391,broad_corridor_observation_distribution,False,False,False,9.0,7.0,1.0,0.375,0.625,0.0625,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
LU,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,23.0,23.0,13.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.2608695652173913,0.3913043478260869,0.4782608695652174,2.321210524255372,0.9049732375818186,10.187999665203597,broad_corridor_observation_distribution,False,False,False,12.0,8.0,1.0,0.6086956521739131,0.391304347826087,0.08695652173913043,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
LU,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,9.0,9.0,6.0,landing_region_08ea81d123b5::landing_region_319252418c1f,0.2222222222222222,0.4444444444444444,0.6666666666666666,1.6581101035673729,0.9254088687929399,5.249380678092524,broad_corridor_observation_distribution,False,False,False,5.0,4.0,1.0,0.6666666666666666,0.3333333333333333,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
LV,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,17.0,17.0,11.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.35294117647058826,0.5882352941176471,0.6470588235294118,1.956187467660451,0.8157935377125783,7.0723121814133245,broad_corridor_observation_distribution,False,False,False,10.0,5.0,1.0,0.35294117647058826,0.6470588235294118,0.11764705882352941,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
LV,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,7.0,7.0,8.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.2857142857142857,0.5714285714285714,0.6428571428571428,1.8468891232610356,0.8881659264001539,6.3400656498473476,broad_corridor_observation_distribution,False,False,False,3.0,3.0,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
MA,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,5.0,5.0,1.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
MA,Topology-IPv4-UDP,resolved_entry_only,,,0.0,0.0,0.0,,,,,,,,unknown_corridor_observation_concentration,False,False,False,0.0,0.0,,,,,False,False,insufficient_no_inter_region_projection_segments,"minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",probe_country_service
