probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
HN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,14,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,0.42857142857142855,0.8571428571428571,1.0,2.729838563103603,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
ID,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,181,0.11049723756906077,0.17679558011049723,0.23204419889502761,38.4728463607138,broad_network_transition_distribution,0.4419889502762431,0.6243093922651933,0.712707182320442,7.373970469294501,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,41,30,0.6629834254143646,0.3370165745856354
IL,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,27,0.4074074074074074,0.7037037037037037,0.8518518518518519,4.033846264770918,weak_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,7,1.0,0.0
IM,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
IN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,69,0.5507246376811594,0.8115942028985508,0.927536231884058,3.175066569670254,moderate_network_transition_concentration,0.37681159420289856,0.6376811594202898,0.8260869565217391,4.117957940196693,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,17,8,0.2608695652173913,0.7391304347826086
IQ,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.25,0.5,0.75,4.0,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5
IS,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333
IT,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,56,0.9642857142857143,1.0,1.0,1.1665796643952542,severe_network_transition_concentration,0.9642857142857143,1.0,1.0,1.1665796643952542,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,27,3,1.0,0.0
JP,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,124,0.0967741935483871,0.1935483870967742,0.27419354838709675,25.416970070212027,broad_network_transition_distribution,0.532258064516129,0.9032258064516129,0.9247311827956989,3.1551895790943436,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,40,22,0.967741935483871,0.03225806451612903
KN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
