country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AX,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,"Stavsnas, Sweden -> Hamnäs, Finland",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,0.0,2.0
BH,landing_region_05a5445633a9::landing_region_08ea81d123b5,"Al Khobar, Saudi Arabia -> Marseille, France",4.0,8,8,8,4,3,4,3,0.4,1,True,False,False,0.0,4.0
BH,landing_region_08ea81d123b5::landing_region_ca49ab31c10b,"Marseille, France -> Amwaj Island, Bahrain",4.0,8,8,8,4,3,4,3,0.4,2,False,True,False,0.0,4.0
BH,landing_region_05a5445633a9::landing_region_ca49ab31c10b,"Al Khobar, Saudi Arabia -> Amwaj Island, Bahrain",2.0,2,2,2,1,1,4,3,0.2,3,False,False,True,2.0,0.0
BJ,landing_region_343850da3642::landing_region_8afa8229a8fd,"Carcavelos, Portugal -> Cotonou, Benin",3.0,6,6,6,3,1,4,2,0.375,1,True,False,False,0.0,3.0
BJ,landing_region_8afa8229a8fd::landing_region_f7627feb3284,"Cotonou, Benin -> Seixal, Portugal",3.0,6,6,6,3,1,4,2,0.375,2,False,True,False,0.0,3.0
BJ,landing_region_8afa8229a8fd::landing_region_ffdf496f7c75,"Cotonou, Benin -> Casablanca, Morocco",2.0,2,2,2,1,1,4,2,0.25,3,False,False,True,0.0,2.0
BR,landing_region_5113b57f1083::landing_region_7f124bf07cd8,"Praia Grande, Brazil -> Rio de Janeiro, Brazil",4.0,4,4,4,2,2,6,6,0.36363636363636365,1,True,False,False,4.0,0.0
BR,landing_region_a33078e57a08::landing_region_bd03623e84bf,"Fortaleza, Brazil -> Hollywood, FL, United States",4.0,4,4,4,2,2,6,6,0.36363636363636365,2,False,True,False,0.0,4.0
BR,landing_region_7f124bf07cd8::landing_region_a33078e57a08,"Rio de Janeiro, Brazil -> Fortaleza, Brazil",2.0,2,2,2,1,1,6,6,0.18181818181818182,3,False,False,True,2.0,0.0
BR,landing_region_bd03623e84bf::landing_region_e7752fc032df,"Hollywood, FL, United States -> Salvador, Brazil",1.0,1,1,1,1,1,6,6,0.09090909090909091,4,False,False,False,0.0,1.0
CA,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,"Snug Cove, BC, Canada -> Gambier Harbour, BC, Canada",141.0,145,145,72,43,11,65,22,0.75,1,True,False,False,141.0,0.0
CA,landing_region_ad2e1f237edf::landing_region_df3d1db01d0e,"Buffalo, NY, United States -> Toronto, ON, Canada",26.0,26,26,26,19,10,65,22,0.13829787234042554,2,False,True,False,0.0,26.0
CA,landing_region_b451e83206f9::landing_region_d026f3e5a07d,"Lynnwood, WA, United States -> Point Roberts, WA, United States",16.0,16,16,16,11,7,65,22,0.0851063829787234,3,False,False,True,0.0,16.0
CA,landing_region_36777aea9ef0::landing_region_5e0dbaabe44b,"Halifax, NS, Canada -> Lynn, MA, United States",1.0,1,1,1,1,1,65,22,0.005319148936170213,4,False,False,False,0.0,1.0
CA,landing_region_70abce74b352::landing_region_82a1b23200f3,"Snaw-naw-as, BC, Canada -> Snug Cove, BC, Canada",1.0,5,5,5,3,1,65,22,0.005319148936170213,5,False,False,False,1.0,0.0
CA,landing_region_70abce74b352::landing_region_c94f4fef1bdd,"Snaw-naw-as, BC, Canada -> Gambier Harbour, BC, Canada",1.0,5,5,5,3,1,65,22,0.005319148936170213,6,False,False,False,1.0,0.0
CA,landing_region_82a1b23200f3::landing_region_9c356a93ed34,"Snug Cove, BC, Canada -> Qualicum Beach, BC, Canada",1.0,5,5,5,3,1,65,22,0.005319148936170213,7,False,False,False,1.0,0.0
CA,landing_region_9c356a93ed34::landing_region_c94f4fef1bdd,"Qualicum Beach, BC, Canada -> Gambier Harbour, BC, Canada",1.0,5,5,5,3,1,65,22,0.005319148936170213,8,False,False,False,1.0,0.0
CM,landing_region_30beda532e6f::landing_region_99a747248ab4,"Lagos, Nigeria -> Douala, Cameroon",2.0,2,2,2,1,1,1,1,1.0,1,True,False,False,0.0,2.0
CN,landing_region_271ad44782a4::landing_region_7a7da5f2aeb1,"Chongming, China -> Lantau Island, China",0.5,1,1,1,1,1,1,1,0.5,1,True,False,False,0.5,0.0
CN,landing_region_271ad44782a4::landing_region_85e39fb7d29e,"Chongming, China -> Chai Wan, China",0.5,1,1,1,1,1,1,1,0.5,2,False,True,False,0.5,0.0
CO,landing_region_61312bef9df1::landing_region_83c1ffe3b901,"Cartagena, Colombia -> Mahuma, Curaçao",6.0,6,6,6,5,2,7,4,0.6,1,True,False,False,0.0,6.0
CO,landing_region_61312bef9df1::landing_region_bd03623e84bf,"Cartagena, Colombia -> Hollywood, FL, United States",2.0,2,2,2,2,2,7,4,0.2,2,False,True,False,0.0,2.0
CO,landing_region_a7a807763bb3::landing_region_bd03623e84bf,"Puerto Colombia, Colombia -> Hollywood, FL, United States",2.0,2,2,2,1,1,7,4,0.2,3,False,False,True,0.0,2.0
CV,landing_region_1ad4dd854de2::landing_region_d02d22941d60,"Praia, Cape Verde -> Vila do Maio, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,1,True,False,False,1.0,0.0
CV,landing_region_1ad4dd854de2::landing_region_dffdb65405f5,"Praia, Cape Verde -> Tarrafal de Santiago, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,2,False,True,False,1.0,0.0
CV,landing_region_1ad4dd854de2::landing_region_f7627feb3284,"Praia, Cape Verde -> Seixal, Portugal",1.0,1,1,1,1,1,1,1,0.25,3,False,False,True,0.0,1.0
CV,landing_region_d02d22941d60::landing_region_dffdb65405f5,"Vila do Maio, Cape Verde -> Tarrafal de Santiago, Cape Verde",1.0,3,3,1,1,1,1,1,0.25,4,False,False,False,1.0,0.0
CW,landing_region_83c1ffe3b901::landing_region_bd03623e84bf,"Mahuma, Curaçao -> Hollywood, FL, United States",12.0,12,12,12,9,8,9,8,1.0,1,True,False,False,0.0,12.0
CY,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,"Marseille, France -> Pentaskhinos, Cyprus",18.0,18,18,18,11,5,11,5,1.0,1,True,False,False,0.0,18.0
DK,landing_region_d073d559153a::landing_region_e2b0cd002b0c,"Bunkeflostand, Sweden -> Tuborg, Denmark",328.0,328,328,138,80,37,86,40,0.967551622418879,1,True,False,False,288.0,40.0
DK,landing_region_1ce0b85cd8b9::landing_region_d073d559153a,"Uto, Sweden -> Bunkeflostand, Sweden",6.0,11,11,11,6,3,86,40,0.017699115044247787,2,False,True,False,0.0,6.0
