country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
MT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,15735->1299,1.0,1.0,1.0,1.0,severe_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
MV,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,19,2,COUNTRY_FALLBACK:MV->SG,0.8947368421052632,1.0,1.0,1.4000329297344922,severe_network_transition_concentration,2,0,17,0.10526315789473684,0.0,0.8947368421052632,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",10,3,0.0,1.0
MX,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,265539->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
MY,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,57,4,COUNTRY_FALLBACK:MY->SG,0.8771929824561403,0.9298245614035088,0.9649122807017543,1.6569665206702513,severe_network_transition_concentration,0,7,50,0.0,0.12280701754385964,0.8771929824561403,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,33,6,0.10526315789473684,0.8947368421052632
NC,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,9,1,18200->38195,1.0,1.0,1.0,1.0,severe_network_transition_concentration,9,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,0.0,1.0
NG,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,7,3,37282->6453,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,4,3,0,0.5714285714285714,0.42857142857142855,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.0,1.0
NO,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,85,8,29695->29695,0.5058823529411764,0.6941176470588235,0.788235294117647,4.6308697439857225,broad_network_transition_distribution,8,77,0,0.09411764705882353,0.9058823529411765,0.0,True,True,auditable,,38,12,1.0,0.0
NU,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,55885->38800,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0
NZ,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,224,18,7578->7578,0.32589285714285715,0.5758928571428572,0.6919642857142857,7.899266614072146,broad_network_transition_distribution,33,190,1,0.14732142857142858,0.8482142857142857,0.004464285714285714,True,True,auditable,,67,16,0.49107142857142855,0.5089285714285714
PA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,11556->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PE,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,16,2,3356->3549,0.9375,1.0,1.0,1.2633812503027273,severe_network_transition_concentration,15,1,0,0.9375,0.0625,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,6,0.0,1.0
PG,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,17828->4826,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99,17,9299->9299,0.2727272727272727,0.4242424242424242,0.5555555555555556,9.595701294273221,broad_network_transition_distribution,15,71,13,0.15151515151515152,0.7171717171717171,0.13131313131313133,True,True,auditable,,49,25,0.1414141414141414,0.8585858585858586
PK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,8,1,COUNTRY_FALLBACK:PK->SG,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,8,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",4,1,0.0,1.0
PR,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,2,5786->20080,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
PT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,86,7,COUNTRY_FALLBACK:PT->FR,0.6395348837209303,0.7209302325581396,0.8023255813953489,3.534569270855721,weak_network_transition_concentration,17,14,55,0.19767441860465115,0.16279069767441862,0.6395348837209303,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,52,15,0.0,1.0
SA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,35819->35819,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.25,0.75
SE,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,107,13,24940->24940,0.16822429906542055,0.3177570093457944,0.46728971962616817,10.004137415240388,broad_network_transition_distribution,2,97,8,0.018691588785046728,0.9065420560747663,0.07476635514018691,True,True,auditable,,55,22,0.5233644859813084,0.4766355140186916
SG,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,3,1273->1273,0.5,0.75,1.0,2.82842712474619,weak_network_transition_concentration,1,3,0,0.25,0.75,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
SL,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,1,1,329109->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SN,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,2,8346->5511,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
TH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,38040->38040,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
TO,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,24390->24390,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TW,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,190,18,COUNTRY_FALLBACK:TW->HK,0.2631578947368421,0.4631578947368421,0.6,9.376159843320524,broad_network_transition_distribution,29,70,91,0.15263157894736842,0.3684210526315789,0.4789473684210526,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,59,17,0.45263157894736844,0.5473684210526316
TZ,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,37035->37662,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
US,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,87,15,6939->6939,0.21839080459770116,0.3793103448275862,0.47126436781609193,11.04675752537397,broad_network_transition_distribution,30,55,2,0.3448275862068966,0.632183908045977,0.022988505747126436,True,True,auditable,,48,20,0.5862068965517241,0.41379310344827586
VI,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,14434->14434,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
VN,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,45899->45899,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
ZA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,27,6,37662->37662,0.37037037037037035,0.5925925925925926,0.7777777777777777,4.917410332333914,broad_network_transition_distribution,6,19,2,0.2222222222222222,0.7037037037037037,0.07407407407407407,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,14,9,0.0,1.0
