probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
LK,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,12,4,18001->18001,0.5,0.8333333333333333,0.9166666666666666,3.0861636884341044,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,0.0,1.0
LT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,1257->1257,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5
LV,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,1257->1257,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
MD,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,14,1,55818->55818,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,1.0,0.0
ME,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,15397->15397,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
ML,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,2,6453->6453,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
MM,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,136168->136168,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
MP,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,7131->7131,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
MT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,26,7,12709->12709,0.3076923076923077,0.5384615384615385,0.6923076923076923,5.91938942435933,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",8,2,0.8461538461538461,0.15384615384615385
MV,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,36,4,-1->4651,0.4722222222222222,0.8888888888888888,0.9444444444444444,2.829901861790822,moderate_network_transition_concentration,0.0,True,True,auditable,,11,4,0.0,1.0
MX,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,2,265539->23520,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
MY,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,3,45352->45352,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.3333333333333333,0.6666666666666666
NA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,714,141,55818->55818,0.1792717086834734,0.22408963585434175,0.2661064425770308,66.85713945278474,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,297,1,0.6750700280112045,0.32492997198879553
NC,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,10,1,18200->-1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,0.0,1.0
NG,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,9,3,37282->37282,0.4444444444444444,0.7777777777777777,1.0,2.8888455168024434,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.0,1.0
NL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,118,3,55818->55818,0.6610169491525424,0.9830508474576272,1.0,2.0292209253319746,moderate_network_transition_concentration,0.0,True,True,auditable,,59,48,0.9830508474576272,0.01694915254237288
NO,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,126,22,29695->29695,0.19047619047619047,0.30158730158730157,0.4126984126984127,15.798679823966195,broad_network_transition_distribution,0.0,True,True,auditable,,37,15,0.8968253968253969,0.10317460317460317
NP,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,13,1,-1->4651,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",7,2,0.0,1.0
