country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
MT,landing_region_0102::landing_region_0623,landing_region_0102 -> landing_region_0623,12.0,24,24,18,9,3,0.4,2,False,True,False,12.0,0.0
MT,landing_region_0102::landing_region_0431,landing_region_0102 -> landing_region_0431,4.0,4,4,4,2,2,0.13333333333333333,3,False,False,True,0.0,4.0
MT,landing_region_0102::landing_region_0572,landing_region_0102 -> landing_region_0572,2.0,2,2,2,1,1,0.06666666666666667,4,False,False,False,0.0,2.0
MV,landing_region_0132::landing_region_0439,landing_region_0132 -> landing_region_0439,15.0,15,15,15,9,2,0.8823529411764706,1,True,False,False,0.0,15.0
MV,landing_region_0288::landing_region_0439,landing_region_0288 -> landing_region_0439,2.0,2,2,2,1,1,0.11764705882352941,2,False,True,False,0.0,2.0
MX,landing_region_0174::landing_region_0226,landing_region_0174 -> landing_region_0226,4.0,4,4,4,2,2,1.0,1,True,False,False,0.0,4.0
MY,landing_region_0132::landing_region_0634,landing_region_0132 -> landing_region_0634,1.0,2,2,2,1,1,0.25,1,True,False,False,1.0,0.0
MY,landing_region_0132::landing_region_0655,landing_region_0132 -> landing_region_0655,1.0,2,2,2,1,1,0.25,2,False,True,False,1.0,0.0
MY,landing_region_0132::landing_region_0132,landing_region_0132 -> landing_region_0132,0.5,2,2,2,1,1,0.125,3,False,False,True,0.0,0.5
MY,landing_region_0132::landing_region_0487,landing_region_0132 -> landing_region_0487,0.5,2,2,2,1,1,0.125,4,False,False,False,0.0,0.5
MY,landing_region_0132::landing_region_0641,landing_region_0132 -> landing_region_0641,0.5,2,2,2,1,1,0.125,5,False,False,False,0.0,0.5
MY,landing_region_0132::landing_region_0807,landing_region_0132 -> landing_region_0807,0.5,2,2,2,1,1,0.125,6,False,False,False,0.0,0.5
NC,landing_region_0041::landing_region_0652,landing_region_0041 -> landing_region_0652,10.0,10,10,10,5,2,1.0,1,True,False,False,0.0,10.0
NG,landing_region_0233::landing_region_0556,landing_region_0233 -> landing_region_0556,6.0,6,6,6,4,3,0.5454545454545454,1,True,False,False,0.0,6.0
NG,landing_region_0239::landing_region_0556,landing_region_0239 -> landing_region_0556,4.0,4,4,4,2,2,0.36363636363636365,2,False,True,False,0.0,4.0
NG,landing_region_0131::landing_region_0556,landing_region_0131 -> landing_region_0556,1.0,1,1,1,1,1,0.09090909090909091,3,False,False,True,0.0,1.0
