exact_landing_pair_id,landing_station_a_id,landing_station_a_name,landing_station_b_id,landing_station_b_name,corridor_id,corridor_label,candidate_scope,cable_count,cable_ids,cable_names,strict_parallel_candidate,strict_parallel_cable_pair_relationships
abidjan-cte-divoire::maputo-mozambique,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",maputo-mozambique,"Maputo, Mozambique",landing_region_bed1f90b1b26::landing_region_dc3abce92257,"Abidjan, Côte d'Ivoire <-> Maputo, Mozambique",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::marseille-france,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",marseille-france,"Marseille, France",landing_region_08ea81d123b5::landing_region_bed1f90b1b26,"Marseille, France <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::melkbosstrand-south-africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",melkbosstrand-south-africa,"Melkbosstrand, South Africa",landing_region_44e270aeb18c::landing_region_bed1f90b1b26,"Melkbosstrand, South Africa <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""sat-3wasc""]","[""SAT-3/WASC""]",False,0
abidjan-cte-divoire::mogadishu-somalia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",mogadishu-somalia,"Mogadishu, Somalia",landing_region_aec65461b9ed::landing_region_bed1f90b1b26,"Mogadishu, Somalia <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::mombasa-kenya,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",mombasa-kenya,"Mombasa, Kenya",landing_region_57424b247075::landing_region_bed1f90b1b26,"Nyali, Kenya <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::monrovia-liberia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",monrovia-liberia,"Monrovia, Liberia",landing_region_75ab1bb94261::landing_region_bed1f90b1b26,"Monrovia, Liberia <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::moroni-comoros,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",moroni-comoros,"Moroni, Comoros",landing_region_788aed6ea9ed::landing_region_bed1f90b1b26,"Moroni, Comoros <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::mtwapa-kenya,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",mtwapa-kenya,"Mtwapa, Kenya",landing_region_57424b247075::landing_region_bed1f90b1b26,"Nyali, Kenya <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::muanda-congo-dem-rep-,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.",landing_region_2250855567fa::landing_region_bed1f90b1b26,"Soyo, Angola <-> Abidjan, Côte d'Ivoire",inter_region,2,"[""2africa"", ""west-africa-cable-system-wacs""]","[""2Africa"", ""West Africa Cable System (WACS)""]",True,1
abidjan-cte-divoire::mumbai-india,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",mumbai-india,"Mumbai, India",landing_region_0074f164da96::landing_region_bed1f90b1b26,"Mumbai, India <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::nacala-mozambique,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",nacala-mozambique,"Nacala, Mozambique",landing_region_bed1f90b1b26::landing_region_e4f36279958f,"Abidjan, Côte d'Ivoire <-> Nacala, Mozambique",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::nouakchott-mauritania,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",nouakchott-mauritania,"Nouakchott, Mauritania",landing_region_a7c239e49535::landing_region_bed1f90b1b26,"Nouakchott, Mauritania <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::penmarch-france,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",penmarch-france,"Penmarch, France",landing_region_bed1f90b1b26::landing_region_c2234be9314b,"Abidjan, Côte d'Ivoire <-> Penmarch, France",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::pointe-noire-congo-rep-,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.",landing_region_500e5328b192::landing_region_bed1f90b1b26,"Pointe-Noire, Congo, Rep. <-> Abidjan, Côte d'Ivoire",inter_region,2,"[""2africa"", ""west-africa-cable-system-wacs""]","[""2Africa"", ""West Africa Cable System (WACS)""]",True,1
abidjan-cte-divoire::port-said-egypt,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",port-said-egypt,"Port Said, Egypt",landing_region_76a1e527d0dd::landing_region_bed1f90b1b26,"Port Said, Egypt <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::port-sudan-sudan,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",port-sudan-sudan,"Port Sudan, Sudan",landing_region_bed1f90b1b26::landing_region_caa5fe5bd73d,"Abidjan, Côte d'Ivoire <-> Port Sudan, Sudan",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::praia-cape-verde,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",praia-cape-verde,"Praia, Cape Verde",landing_region_0e3c71b8e5bb::landing_region_bed1f90b1b26,"Vila do Maio, Cape Verde <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""west-africa-cable-system-wacs""]","[""West Africa Cable System (WACS)""]",False,0
abidjan-cte-divoire::ras-ghareb-egypt,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",ras-ghareb-egypt,"Ras Ghareb, Egypt",landing_region_bed1f90b1b26::landing_region_ce4340c7a1cb,"Abidjan, Côte d'Ivoire <-> Ras Ghareb, Egypt",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::salalah-oman,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",salalah-oman,"Salalah, Oman",landing_region_4a1972e240f9::landing_region_bed1f90b1b26,"Salalah, Oman <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::sangano-angola,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",sangano-angola,"Sangano, Angola",landing_region_593e1abfd2fb::landing_region_bed1f90b1b26,"Sangano, Angola <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""west-africa-cable-system-wacs""]","[""West Africa Cable System (WACS)""]",False,0
