landing_region_id,landing_region_label,landing_station_count,region_diameter_km,configured_maximum_diameter_km,diameter_within_configured_maximum,configured_radius_km,diameter_within_configured_radius,region_assignment_methods,landing_station_ids
landing_region_80d1f0921e03,"Chignik Lagoon, AK, United States",3,22.85481250602782,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""chignik-bay-ak-united-states"", ""chignik-lagoon-ak-united-states"", ""chignik-lake-ak-united-states""]"
landing_region_80ff1bf30526,"Stoke Fleming, United Kingdom",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""stoke-fleming-united-kingdom""]"
landing_region_8137a43aec0a,"Sagunto, Spain",2,25.893038075635758,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""sagunto-spain"", ""valencia-spain""]"
landing_region_813b070a75f1,"Chenega, AK, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""chenega-ak-united-states""]"
landing_region_814467d5622c,"Canefield, Dominica",2,5.926452511047513,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""canefield-dominica"", ""roseau-dominica""]"
landing_region_817a3c14f310,"Hiva Oa, French Polynesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hiva-oa-french-polynesia""]"
landing_region_81a7a6201aa6,"Kuala Rompin, Malaysia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kuala-rompin-malaysia""]"
landing_region_81bb1b855548,"Aupaluk, QC, Canada",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""aupaluk-qc-canada""]"
landing_region_820fc3edf3b3,"Makurazaki, Japan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""makurazaki-japan""]"
landing_region_82221c8beefd,"Corvo, Portugal",2,23.371006183180775,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""corvo-portugal"", ""flores-portugal""]"
landing_region_822747b0ce7e,"Miramar, PR, United States",5,18.141962890549504,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""condado-beach-pr-united-states"", ""isla-verde-pr-united-states"", ""miramar-pr-united-states"", ""punta-salinas-pr-united-states"", ""san-juan-pr-united-states""]"
landing_region_82348e00cf29,"Neiafu, Tonga",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""neiafu-tonga""]"
landing_region_825a198043df,"Oriximiná, Brazil",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""oriximin-brazil""]"
landing_region_826d50434ee9,"Anchorage, AK, United States",2,23.43431169145612,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""anchorage-ak-united-states"", ""mchugh-point-ak-united-states""]"
landing_region_829affe00e67,"Kribi, Cameroon",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kribi-cameroon""]"
landing_region_82a1b23200f3,"Snug Cove, BC, Canada",5,27.713654433328422,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""cape-roger-curtis-bc-canada"", ""eastbourne-bc-canada"", ""horseshoe-bay-bc-canada"", ""snug-cove-bc-canada"", ""vancouver-bc-canada""]"
landing_region_82ed2c557762,"Bintan, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bintan-indonesia""]"
landing_region_82f2fa5ac754,"Unalaska, AK, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""unalaska-ak-united-states""]"
landing_region_83784f5eb7a1,"Civitavecchia, Italy",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""civitavecchia-italy""]"
landing_region_83c1ffe3b901,"Mahuma, Curaçao",2,10.48633519575079,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""mahuma-curaao"", ""willemstad-curaao""]"
landing_region_8420bb0fb671,"San Jose de Buenavista, Philippines",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""san-jose-de-buenavista-philippines""]"
landing_region_84394d1aa7f2,"Hyllestad, Norway",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hyllestad-norway""]"
landing_region_847233e072ea,"Cabinda, Angola",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""cabinda-angola""]"
landing_region_84b32cf4ec23,"St. David’s, Bermuda",3,15.121830219035479,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""annies-bay-bermuda"", ""paget-bermuda"", ""st-davids-bermuda""]"
landing_region_84f29bf74fec,"Les Îles-de-la-Madeleine, QC, Canada",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""les-les-de-la-madeleine-qc-canada""]"
landing_region_854a57e94645,"Igneada, Turkey",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""igneada-turkey""]"
landing_region_857e77e308f8,"Gunsan, South Korea",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""gunsan-south-korea""]"
landing_region_85aed312acd2,"Ozamiz City, Philippines",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ozamiz-city-philippines""]"
landing_region_85af16a4a5ec,"Hitra, Norway",2,17.617705123344848,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hitra-norway"", ""tjeldbergodden-norway""]"
landing_region_85c5930cf70b,"Mangalia, Romania",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""mangalia-romania""]"
