country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
HN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7,7.0,2,landing_region_0c894d5ef6d3::landing_region_10c60941f915,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,1,0.0,1.0,transition_near_country
ID,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,82,82.00000000000001,15,landing_region_149ad599e1a3::landing_region_ce5716d12955,0.23170731707317074,0.4634146341463415,0.5731707317073171,2.1596850319140257,0.7975055377610826,8.668406956896447,broad_corridor_observation_distribution,False,False,True,True,auditable,,51,35,1,0.4756097560975608,0.5243902439024389,transition_near_country
IL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,21,21.0,4,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.25396825396825395,0.5079365079365079,0.7619047619047619,1.385912318708316,0.9997244146537061,3.998472122229339,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,14,7,1,0.7619047619047619,0.23809523809523808,transition_near_country
IM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_08337e5ad0be::landing_region_3e66a317c0e3,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
IN,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,48,48.0,4,landing_region_32509493c7f4::landing_region_d0ecf913edd7,0.625,0.8125,0.9583333333333334,1.0208133431912718,0.7363611739476656,2.775451240564185,moderate_corridor_observation_concentration,True,True,True,True,auditable,,47,18,1,0.14583333333333334,0.8541666666666666,transition_near_country
IT,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6,5.999999999999999,6,landing_region_08ea81d123b5::landing_region_a98ab4a2cae2,0.5,0.6666666666666666,0.8333333333333333,1.4255553730053514,0.7956176024115137,4.160167646103806,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.5000000000000001,0.5000000000000001,transition_near_country
JM,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,2,landing_region_0c894d5ef6d3::landing_region_4b188f8b0733,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,1,0.0,1.0,transition_near_country
JP,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,234,234.00000000000006,22,landing_region_149ad599e1a3::landing_region_ea9847129f13,0.26495726495726496,0.5299145299145299,0.6794871794871795,1.8465458437046265,0.5973861153859,6.337889608440097,broad_corridor_observation_distribution,False,False,True,True,auditable,,164,69,1,0.46153846153846123,0.5384615384615383,transition_near_country
KE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_173727a59ebb::landing_region_57424b247075,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
KY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0c894d5ef6d3::landing_region_6a990cca53f4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
