probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
GB,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0406::landing_region_0406,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.6666666666666666,0.3333333333333333
GH,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,4.0,3,landing_region_0006::landing_region_0556,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GP,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,4,landing_region_0106::landing_region_0106,0.25,0.5,0.75,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
GQ,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0556::landing_region_0577,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GR,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0149::landing_region_0159,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GT,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0174::landing_region_0785,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
GU,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,22,22.0,9,landing_region_0014::landing_region_0014,0.20454545454545456,0.4090909090909091,0.5909090909090909,7.238063562295625,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.5,0.5
HK,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,46,46.0,5,landing_region_0132::landing_region_0230,0.5652173913043478,0.7826086956521738,0.9565217391304347,3.079922969174237,weak_corridor_observation_concentration,True,True,True,True,auditable,,25,17,1,0.17391304347826086,0.8260869565217391
HN,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,5.0,3,landing_region_0174::landing_region_0775,0.4,0.8,1.0,2.8717458874925876,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0
HR,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0149::landing_region_0149,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,1,1,1.0,0.0
ID,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,89,89.0,14,landing_region_0061::landing_region_0132,0.33707865168539325,0.4943820224719101,0.5842696629213483,8.176476814356263,broad_corridor_observation_distribution,False,False,True,True,auditable,,27,25,1,0.5393258426966292,0.4606741573033708
IL,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,22,22.0,3,landing_region_0083::landing_region_0083,0.5909090909090909,0.8181818181818182,1.0,2.60532048985808,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,7,1,0.8181818181818182,0.18181818181818182
IM,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0169::landing_region_0334,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
IN,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,42,42.0,5,landing_region_0132::landing_region_0260,0.6190476190476191,0.8095238095238095,0.9285714285714286,3.0043518389788537,moderate_corridor_observation_concentration,True,True,True,True,auditable,,26,9,1,0.11904761904761904,0.8809523809523809
IT,B-Root,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,4.999999999999999,6,landing_region_0389::landing_region_0431,0.4,0.6000000000000001,0.8,4.72043755647451,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.6000000000000002,0.4000000000000001
