country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
HK,landing_region_7a7da5f2aeb1::landing_region_8eebb9f0ec75,"Lantau Island, China -> Toucheng, Taiwan",0.25,1,1,1,1,1,168,92,0.0012077294685990338,8,False,False,False,0.0,0.25
HK,landing_region_85e39fb7d29e::landing_region_8eebb9f0ec75,"Chai Wan, China -> Toucheng, Taiwan",0.25,1,1,1,1,1,168,92,0.0012077294685990338,9,False,False,False,0.0,0.25
HN,landing_region_620bdff3a2d2::landing_region_bd03623e84bf,"Puerto Cortes, Honduras -> Hollywood, FL, United States",8.0,8,8,8,8,7,8,7,1.0,1,True,False,False,0.0,8.0
ID,landing_region_5a1e27deaea1::landing_region_ae1b031adf3a,"Tanjung Pakis, Indonesia -> Ancol, Indonesia",99.0,99,99,46,43,34,75,56,0.4782608695652174,1,True,False,False,99.0,0.0
ID,landing_region_5d023e72c246::landing_region_82ed2c557762,"Singapore, Singapore -> Bintan, Indonesia",8.8,44,44,29,27,23,75,56,0.04251207729468599,2,False,True,False,3.0,5.800000000000001
ID,landing_region_5d023e72c246::landing_region_b37879c52c2b,"Singapore, Singapore -> Batam, Indonesia",8.8,44,44,29,27,23,75,56,0.04251207729468599,3,False,False,True,3.0,5.800000000000001
ID,landing_region_82ed2c557762::landing_region_b37879c52c2b,"Bintan, Indonesia -> Batam, Indonesia",8.8,44,44,29,27,23,75,56,0.04251207729468599,4,False,False,False,3.0,5.800000000000001
ID,landing_region_9430e1a9028b::landing_region_b37879c52c2b,"Changi North, Singapore -> Batam, Indonesia",8.8,44,44,29,27,23,75,56,0.04251207729468599,5,False,False,False,3.0,5.800000000000001
ID,landing_region_af2b1cb46785::landing_region_b37879c52c2b,"Tuas, Singapore -> Batam, Indonesia",8.8,44,44,29,27,23,75,56,0.04251207729468599,6,False,False,False,3.0,5.800000000000001
ID,landing_region_5d023e72c246::landing_region_ae1b031adf3a,"Singapore, Singapore -> Ancol, Indonesia",6.771428571428571,50,50,49,46,37,75,56,0.032712215320910974,7,False,False,False,3.2,3.571428571428571
ID,landing_region_9430e1a9028b::landing_region_ae1b031adf3a,"Changi North, Singapore -> Ancol, Indonesia",6.771428571428571,50,50,49,46,37,75,56,0.032712215320910974,8,False,False,False,3.2,3.571428571428571
ID,landing_region_ae1b031adf3a::landing_region_af2b1cb46785,"Ancol, Indonesia -> Tuas, Singapore",6.771428571428571,50,50,49,46,37,75,56,0.032712215320910974,9,False,False,False,3.2,3.571428571428571
ID,landing_region_ae1b031adf3a::landing_region_b37879c52c2b,"Ancol, Indonesia -> Batam, Indonesia",6.771428571428571,50,50,49,46,37,75,56,0.032712215320910974,10,False,False,False,3.2,3.571428571428571
ID,landing_region_5a1e27deaea1::landing_region_9430e1a9028b,"Tanjung Pakis, Indonesia -> Changi North, Singapore",6.571428571428571,49,49,48,45,36,75,56,0.031746031746031744,11,False,False,False,3.0,3.571428571428571
ID,landing_region_5a1e27deaea1::landing_region_af2b1cb46785,"Tanjung Pakis, Indonesia -> Tuas, Singapore",6.571428571428571,49,49,48,45,36,75,56,0.031746031746031744,12,False,False,False,3.0,3.571428571428571
ID,landing_region_5a1e27deaea1::landing_region_b37879c52c2b,"Tanjung Pakis, Indonesia -> Batam, Indonesia",6.571428571428571,49,49,48,45,36,75,56,0.031746031746031744,13,False,False,False,3.0,3.571428571428571
ID,landing_region_010aeea39f91::landing_region_5a1e27deaea1,"Banyu Urip, Indonesia -> Tanjung Pakis, Indonesia",4.0,4,4,4,4,3,75,56,0.01932367149758454,14,False,False,False,4.0,0.0
ID,landing_region_82ed2c557762::landing_region_ae1b031adf3a,"Bintan, Indonesia -> Ancol, Indonesia",3.2,25,25,25,23,18,75,56,0.015458937198067634,15,False,False,False,3.2,0.0
ID,landing_region_010aeea39f91::landing_region_b37879c52c2b,"Banyu Urip, Indonesia -> Batam, Indonesia",2.0,2,2,2,2,2,75,56,0.00966183574879227,16,False,False,False,2.0,0.0
ID,landing_region_150b225bb130::landing_region_5a1e27deaea1,"Cirebon, Indonesia -> Tanjung Pakis, Indonesia",2.0,2,2,2,2,2,75,56,0.00966183574879227,17,False,False,False,2.0,0.0
ID,landing_region_16506ee61a44::landing_region_af2b1cb46785,"Medan, Indonesia -> Tuas, Singapore",2.0,2,2,2,2,1,75,56,0.00966183574879227,18,False,False,False,0.0,2.0
ID,landing_region_21551e42403e::landing_region_e78a64df321a,"Sanur, Indonesia -> Gianyar, Indonesia",2.0,2,2,2,2,2,75,56,0.00966183574879227,19,False,False,False,2.0,0.0
ID,landing_region_58934ccdf4e7::landing_region_5a1e27deaea1,"Kendal, Indonesia -> Tanjung Pakis, Indonesia",2.0,2,2,2,2,2,75,56,0.00966183574879227,20,False,False,False,2.0,0.0
IL,landing_region_192d23342e5f::landing_region_cc314324bd60,"Tel Aviv, Israel -> Netanya, Israel",26.5,34,34,20,19,8,21,9,0.5888888888888889,1,True,False,False,26.5,0.0
IL,landing_region_08ea81d123b5::landing_region_192d23342e5f,"Marseille, France -> Tel Aviv, Israel",9.0,9,9,9,9,5,21,9,0.2,2,False,True,False,0.0,9.0
IL,landing_region_192d23342e5f::landing_region_ae2cb6b6c71d,"Tel Aviv, Israel -> Haifa, Israel",3.533333333333333,10,10,8,8,4,21,9,0.07851851851851852,3,False,False,True,3.533333333333333,0.0
IL,landing_region_ae2cb6b6c71d::landing_region_cc314324bd60,"Haifa, Israel -> Netanya, Israel",2.533333333333333,8,8,6,6,4,21,9,0.056296296296296296,4,False,False,False,2.533333333333333,0.0
