country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,21859->4229,as_transition,cross_as_transition,2,2,0.03076923076923077,6,False,False,False,False,65,40,20,0,2
HK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,983->983,as_transition,intra_as_hop_pair,1,1,0.015384615384615385,7,False,False,False,False,65,40,20,0,1
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4800->10217,as_transition,cross_as_transition,54,54,0.5806451612903226,1,True,False,False,False,93,48,30,54,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4800->4800,as_transition,intra_as_hop_pair,23,23,0.24731182795698925,2,False,True,False,False,93,48,30,23,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7713->10217,as_transition,cross_as_transition,4,4,0.043010752688172046,3,False,False,True,False,93,48,30,4,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,149697->58495,as_transition,cross_as_transition,4,4,0.043010752688172046,4,False,False,False,False,93,48,30,4,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24521->24521,as_transition,intra_as_hop_pair,2,2,0.021505376344086023,5,False,False,False,False,93,48,30,2,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,55666->55666,as_transition,intra_as_hop_pair,2,2,0.021505376344086023,6,False,False,False,False,93,48,30,2,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,138074->10217,as_transition,cross_as_transition,2,2,0.021505376344086023,7,False,False,False,False,93,48,30,2,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,138115->10217,as_transition,cross_as_transition,1,1,0.010752688172043012,8,False,False,False,False,93,48,30,1,0
ID,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ID->ID,country_fallback,country_fallback,1,1,0.010752688172043012,9,False,False,False,True,93,48,30,1,0
IL,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1680->1680,as_transition,intra_as_hop_pair,12,12,0.6,1,True,False,False,False,20,12,4,0,12
IL,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12400->12400,as_transition,intra_as_hop_pair,8,8,0.4,2,False,True,False,False,20,12,4,0,8
IN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:IN->IN,country_fallback,country_fallback,7,7,0.7,1,True,False,False,True,10,6,2,7,0
IN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,9498->136308,as_transition,cross_as_transition,3,3,0.3,2,False,True,False,False,10,6,2,3,0
