analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
probe_country_service,,5,5,5,0,0,True,NL,K-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,NL,K-Root,resolved_entry_only
probe_country_service,,51,51,51,0,0,True,NO,K-Root,all_publicly_visible
probe_country_service,,51,51,51,0,0,True,NO,K-Root,resolved_entry_only
probe_country_service,,125,125,125,0,0,True,NZ,K-Root,all_publicly_visible
probe_country_service,,125,125,125,0,0,True,NZ,K-Root,resolved_entry_only
probe_country_service,,22,22,22,0,0,True,PE,K-Root,all_publicly_visible
probe_country_service,,20,20,20,0,0,True,PE,K-Root,resolved_entry_only
probe_country_service,,5,5,5,0,0,True,PG,K-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,PG,K-Root,resolved_entry_only
probe_country_service,,76,76,76,0,0,True,PH,K-Root,all_publicly_visible
probe_country_service,,74,74,74,0,0,True,PH,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,PK,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,PK,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,PL,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,PL,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,PR,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,PR,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,QA,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,QA,K-Root,resolved_entry_only
probe_country_service,,47,47,47,0,0,True,SE,K-Root,all_publicly_visible
probe_country_service,,45,45,45,0,0,True,SE,K-Root,resolved_entry_only
probe_country_service,,105,105,105,0,0,True,SG,K-Root,all_publicly_visible
probe_country_service,,96,96,96,0,0,True,SG,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,SL,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,SL,K-Root,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,SV,K-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,SV,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,TH,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,TH,K-Root,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,TJ,K-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,TJ,K-Root,resolved_entry_only
probe_country_service,,14,14,14,0,0,True,TL,K-Root,all_publicly_visible
probe_country_service,,14,14,14,0,0,True,TL,K-Root,resolved_entry_only
probe_country_service,,10,10,10,0,0,True,TO,K-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,TO,K-Root,resolved_entry_only
probe_country_service,,6,6,6,0,0,True,TR,K-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,TR,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,TV,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,TV,K-Root,resolved_entry_only
