country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:PH->SG,country_fallback,country_fallback,21,21,0.23595505617977527,2,False,True,False,True,89,42,22,0,21
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,137074->137074,as_transition,intra_as_hop_pair,10,10,0.11235955056179775,3,False,False,True,False,89,42,22,0,10
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,134707->134707,as_transition,intra_as_hop_pair,10,10,0.11235955056179775,4,False,False,False,False,89,42,22,4,6
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,45754->6939,as_transition,cross_as_transition,5,5,0.056179775280898875,5,False,False,False,False,89,42,22,0,5
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,55821->55821,as_transition,intra_as_hop_pair,4,4,0.0449438202247191,6,False,False,False,False,89,42,22,0,4
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,3,3,0.033707865168539325,7,False,False,False,False,89,42,22,0,3
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,137818->132021,as_transition,cross_as_transition,2,2,0.02247191011235955,8,False,False,False,False,89,42,22,2,0
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9658->6939,as_transition,cross_as_transition,2,2,0.02247191011235955,9,False,False,False,False,89,42,22,0,2
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,45209->9658,as_transition,cross_as_transition,2,2,0.02247191011235955,10,False,False,False,False,89,42,22,2,0
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,132400->134707,as_transition,cross_as_transition,2,2,0.02247191011235955,11,False,False,False,False,89,42,22,2,0
