probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
QA,2,2,2,1.0,1.0,1,1,1,1,1
RE,104,104,89,0.8557692307692307,1.0,1,52,5,1,1
RO,179,177,0,0.0,0.9888268156424581,1,90,47,1,1
RS,102,97,0,0.0,0.9509803921568627,1,51,21,1,1
RU,1042,992,6,0.005758157389635317,0.9520153550863724,1,521,308,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,48,28,0,0.0,0.5833333333333334,1,24,12,1,1
SE,467,443,194,0.41541755888650966,0.9486081370449678,1,233,78,1,1
SG,300,275,180,0.6,0.9166666666666666,1,150,67,1,1
SI,98,91,0,0.0,0.9285714285714286,1,49,22,1,1
SK,112,100,0,0.0,0.8928571428571429,1,56,22,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,4,4,0,0.0,1.0,1,2,2,1,1
SR,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,29,23,2,0.06896551724137931,0.7931034482758621,1,15,10,1,1
SY,6,0,0,0.0,0.0,1,3,2,1,1
TD,2,2,2,1.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,98,98,17,0.17346938775510204,1.0,1,49,29,1,1
TJ,28,26,0,0.0,0.9285714285714286,1,14,11,1,1
TL,8,8,8,1.0,1.0,1,4,2,1,1
TN,16,14,0,0.0,0.875,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,138,130,20,0.14492753623188406,0.9420289855072463,1,69,30,1,1
TT,2,2,0,0.0,1.0,1,1,1,1,1
TV,2,2,0,0.0,1.0,1,1,1,1,1
TW,161,153,139,0.8633540372670807,0.9503105590062112,1,81,34,1,1
TZ,12,10,0,0.0,0.8333333333333334,1,6,5,1,1
UA,329,321,0,0.0,0.9756838905775076,1,165,115,1,1
UG,12,12,2,0.16666666666666666,1.0,1,6,4,1,1
US,3778,3634,282,0.07464266807834834,0.9618845950238222,1,1889,512,1,1
UY,41,41,0,0.0,1.0,1,21,5,1,1
UZ,20,18,0,0.0,0.9,1,10,8,1,1
VA,2,2,0,0.0,1.0,1,1,1,1,1
VE,77,65,4,0.05194805194805195,0.8441558441558441,1,39,25,1,1
VI,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
VN,56,56,50,0.8928571428571429,1.0,1,28,16,1,1
VU,4,2,2,0.5,0.5,1,2,1,1,1
YE,2,2,0,0.0,1.0,1,1,1,1,1
ZA,270,262,2,0.007407407407407408,0.9703703703703703,1,134,71,1,1
ZM,8,6,0,0.0,0.75,1,4,4,1,1
ZW,6,6,0,0.0,1.0,1,3,2,1,1
