country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
SN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0239::landing_region_0308,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TH,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,56,56.0,5,landing_region_0132::landing_region_0892,0.6785714285714286,0.8928571428571429,0.9642857142857143,2.5231008259932883,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13,6,1,0.25,0.75
TN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6,6.0,3,landing_region_0166::landing_region_0460,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
TO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0701::landing_region_0903,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
TR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_0088::landing_region_0461,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,0.0,1.0
TW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,154,154.00000000000003,10,landing_region_0719::landing_region_1011,0.36363636363636365,0.6883116883116883,0.8441558441558441,4.998453295747179,weak_corridor_observation_concentration,True,True,True,True,auditable,,14,7,1,0.7922077922077919,0.20779220779220775
US,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2198,2198.0,19,landing_region_0149::landing_region_0174,0.3994540491355778,0.5969062784349408,0.7898089171974523,5.745921077155332,broad_corridor_observation_distribution,False,False,True,True,auditable,,242,68,1,0.9608735213830755,0.039126478616924476
VE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,5,landing_region_0225::landing_region_0425,0.5,0.625,0.75,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
VI,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,16,15.999999999999998,4,landing_region_0174::landing_region_0208,0.5,0.6666666666666666,0.8333333333333333,3.464101615137755,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.5000000000000001,0.5000000000000001
ZA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,134,134.0,5,landing_region_0233::landing_region_0556,0.5522388059701493,0.9104477611940298,0.9402985074626866,2.745939839794273,moderate_corridor_observation_concentration,True,True,True,True,auditable,,19,7,1,0.3880597014925373,0.6119402985074627
