country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
NG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,37282->3356,as_transition,cross_as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,6,5,0,2
NG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,37271->37271,as_transition,intra_as_hop_pair,2,2,0.3333333333333333,2,False,True,False,False,6,6,5,0,2
NG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,37721->37721,as_transition,intra_as_hop_pair,1,1,0.16666666666666666,3,False,False,True,False,6,6,5,0,1
NG,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,30844->36937,as_transition,cross_as_transition,1,1,0.16666666666666666,4,False,False,False,False,6,6,5,0,1
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,29695->29695,as_transition,intra_as_hop_pair,24,24,0.5454545454545454,1,True,False,False,False,44,39,12,24,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,56655->56655,as_transition,intra_as_hop_pair,5,5,0.11363636363636363,2,False,True,False,False,44,39,12,5,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2119->2119,as_transition,intra_as_hop_pair,5,5,0.11363636363636363,3,False,False,True,False,44,39,12,5,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,224->224,as_transition,intra_as_hop_pair,3,3,0.06818181818181818,4,False,False,False,False,44,39,12,3,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,49409->57829,as_transition,cross_as_transition,2,2,0.045454545454545456,5,False,False,False,False,44,39,12,2,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,25400->25400,as_transition,intra_as_hop_pair,2,2,0.045454545454545456,6,False,False,False,False,44,39,12,2,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,25400->1299,as_transition,cross_as_transition,1,1,0.022727272727272728,7,False,False,False,False,44,39,12,1,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,48144->50304,as_transition,cross_as_transition,1,1,0.022727272727272728,8,False,False,False,False,44,39,12,1,0
NO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,50304->1299,as_transition,cross_as_transition,1,1,0.022727272727272728,9,False,False,False,False,44,39,12,1,0
NU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,55885->38800,as_transition,cross_as_transition,1,1,1.0,1,True,False,False,False,1,1,0,0,1
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,37,37,0.30327868852459017,1,True,False,False,False,122,70,17,0,37
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,64073->64073,as_transition,intra_as_hop_pair,29,29,0.23770491803278687,2,False,True,False,False,122,70,17,29,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,55850->55850,as_transition,intra_as_hop_pair,13,13,0.10655737704918032,3,False,False,True,False,122,70,17,13,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,56030->56030,as_transition,intra_as_hop_pair,13,13,0.10655737704918032,4,False,False,False,False,122,70,17,13,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,7,7,0.05737704918032787,5,False,False,False,False,122,70,17,0,7
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:NZ->AU,country_fallback,country_fallback,6,6,0.04918032786885246,6,False,False,False,True,122,70,17,0,6
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,64073->137409,as_transition,cross_as_transition,4,4,0.03278688524590164,7,False,False,False,False,122,70,17,0,4
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,23655->9790,as_transition,cross_as_transition,3,3,0.02459016393442623,8,False,False,False,False,122,70,17,3,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,135069->2914,as_transition,cross_as_transition,2,2,0.01639344262295082,9,False,False,False,False,122,70,17,0,2
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4049->55850,as_transition,cross_as_transition,2,2,0.01639344262295082,10,False,False,False,False,122,70,17,2,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,14593->55850,as_transition,cross_as_transition,1,1,0.00819672131147541,11,False,False,False,False,122,70,17,1,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,24324->24324,as_transition,intra_as_hop_pair,1,1,0.00819672131147541,12,False,False,False,False,122,70,17,1,0
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,18199->2914,as_transition,cross_as_transition,1,1,0.00819672131147541,13,False,False,False,False,122,70,17,0,1
NZ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4826->4826,as_transition,intra_as_hop_pair,1,1,0.00819672131147541,14,False,False,False,False,122,70,17,0,1
