country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
CH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,396,396.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,78,25,1,1.0,0.0
CL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,22,22.0,1,landing_region_0242::landing_region_0975,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,4,1,1.0,0.0
CM,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0333::landing_region_0556,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
CN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,145,145.0,7,landing_region_0266::landing_region_0270,0.3689655172413793,0.7379310344827587,0.8482758620689655,4.048803214353713,weak_corridor_observation_concentration,True,True,True,True,auditable,,47,15,1,0.15862068965517243,0.8413793103448276
CO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,3,landing_region_0243::landing_region_0603,0.4444444444444444,0.7222222222222222,1.0,2.9213427123181535,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
CW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
CY,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,3,landing_region_0734::landing_region_1009,0.6666666666666666,0.8333333333333333,1.0,2.3811015779522995,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.6666666666666666,0.3333333333333333
DE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,9.0,2,landing_region_0388::landing_region_0388,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
DJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,23,23.0,1,landing_region_0330::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,9,1,0.0,1.0
DK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,441,441.0,7,landing_region_0524::landing_region_0524,0.4387755102040816,0.6473922902494331,0.7993197278911565,4.436671830901228,broad_corridor_observation_distribution,False,False,True,True,auditable,,56,16,1,0.5714285714285714,0.42857142857142855
