probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
ES,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,75,0.28,0.56,0.7733333333333334,4.526558757626592,broad_network_transition_distribution,0.4266666666666667,0.7066666666666668,0.8466666666666667,3.773197456788092,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,9,0.28,0.72
ET,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
FI,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,246,0.45934959349593496,0.6910569105691057,0.7276422764227642,6.816895103392731,broad_network_transition_distribution,0.5772357723577236,0.6808943089430894,0.7784552845528455,4.947486077040787,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,78,35,0.23983739837398374,0.7601626016260162
FJ,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.3333333333333333,0.6666666666666666
FM,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,16,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.25,0.5,0.75,4.756828460010884,broad_corridor_observation_distribution,network_concentrated_physical_broad,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.75,0.25
FR,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,255,0.788235294117647,0.8823529411764706,0.9529411764705882,2.203100096948396,moderate_network_transition_concentration,0.3941176470588235,0.788235294117647,0.9215686274509803,3.591861505105921,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,70,11,0.8313725490196079,0.16862745098039217
GB,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,75,0.36,0.6133333333333333,0.7466666666666667,5.22032323828166,broad_network_transition_distribution,0.3466666666666667,0.5266666666666666,0.7066666666666667,5.939412585069121,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,11,0.44,0.56
GH,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8,0.375,0.75,1.0,2.9511517858675242,weak_network_transition_concentration,0.375,0.625,0.8125,3.827170367691972,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.375,0.625
GP,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,4,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.375,0.75,0.875,3.509530701206647,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
GQ,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
GT,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,55,0.32727272727272727,0.6,0.7090909090909091,5.822009839331,broad_network_transition_distribution,0.4090909090909091,0.8181818181818182,0.8727272727272728,3.7714527772491846,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,3,0.8727272727272727,0.12727272727272726
HK,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,91,0.6483516483516484,0.7362637362637363,0.8021978021978022,3.8532903655752504,weak_network_transition_concentration,0.37362637362637363,0.6538461538461539,0.9340659340659341,3.5257623997212395,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,14,10,0.6263736263736264,0.37362637362637363
