country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
PA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,11556->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PG,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,17828->4826,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
PH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,38,11,135607->3549,0.2894736842105263,0.5526315789473684,0.631578947368421,7.524198661510841,broad_network_transition_distribution,0.0,True,True,auditable,,22,16,0.21052631578947367,0.7894736842105263
PK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,11,1,-1->6762,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,0.0,1.0
PR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,6,3,23114->23114,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
QA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,8781->8781,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,1,1,39386->3356,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,104,8,1299->1299,0.625,0.7692307692307692,0.8557692307692307,3.6316314531484903,weak_network_transition_concentration,0.0,True,True,auditable,,62,42,0.375,0.625
SG,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,43,9,7473->7473,0.4418604651162791,0.7674418604651163,0.8372093023255814,4.4462195613724464,weak_network_transition_concentration,0.0,True,True,auditable,,28,17,0.0,1.0
SL,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,329109->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,4,2,8346->6453,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
TH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,4,1,38040->38040,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
TO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,24390->24390,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TW,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,147,13,-1->3356,0.2925170068027211,0.5510204081632653,0.6462585034013606,7.581147142917939,broad_network_transition_distribution,0.0,True,True,auditable,,60,18,0.41496598639455784,0.5850340136054422
TZ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,37035->37662,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
US,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,166,20,3356->3356,0.24096385542168675,0.3795180722891566,0.4879518072289157,12.082978586528819,broad_network_transition_distribution,0.0,True,True,auditable,,98,38,0.6566265060240963,0.3433734939759036
VI,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,3,1,14434->14434,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
ZA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,50,3,37468->37468,0.52,0.88,1.0,2.617626095195709,moderate_network_transition_concentration,0.0,True,True,auditable,,29,11,0.0,1.0
